row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Nam Khang,Vay ngắn hạn > Nam Khang,Nam Khang,Công ty con,Vay,223.000.000.000,380.000.000.000,,,223000000000.0,380000000000.0
Nam Phan,Vay ngắn hạn > Nam Phan,Nam Phan,Công ty con,Vay,192.042.091.910,-,,,192042091910.0,
Nguyên Sơn,Vay ngắn hạn > Nguyên Sơn,Nguyên Sơn,Công ty con,Vay,129.500.000.000,-,,,129500000000.0,
Kikyo Valora,Vay ngắn hạn > Kikyo Valora,Kikyo Valora,Công ty con,Vay,100.000.000.000,100.000.000.000,,,100000000000.0,100000000000.0
Vận tải Nam Long,Vay ngắn hạn > Vận tải Nam Long,Vận tải Nam Long,Công ty con,Vay,9.000.000.000,15.000.000.000,,,9000000000.0,15000000000.0
Nam Long ADC,Vay ngắn hạn > Nam Long ADC,Nam Long ADC,Công ty con,Vay,-,154.000.000.000,,,,154000000000.0
Nam Long Mekong,Vay ngắn hạn > Nam Long Mekong,Nam Long Mekong,Công ty con,Vay,-,34.020.552.171,,,,34020552171.0
,,,,,653.542.091.910,683.020.552.171,,,653542091910.0,683020552171.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Nam Long Mekong,Vay dài hạn > Nam Long Mekong,Nam Long Mekong,Công ty con,Vay,34.020.552.171,20.000.000.000,,,34020552171.0,20000000000.0
Nam Phan,Vay dài hạn > Nam Phan,Nam Phan,Công ty con,Vay,-,210.542.091.910,,,,210542091910.0
Nguyên Sơn,Vay dài hạn > Nguyên Sơn,Nguyên Sơn,Công ty con,Vay,-,166.700.000.000,,,,166700000000.0
,,,,,34.020.552.171,397.242.091.910,,,34020552171.0,397242091910.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
Nguyên Sơn,Chi phí phải trả ngắn hạn > Nguyên Sơn,Nguyên Sơn,Công ty con,Lãi vay,63.781.317.675,54.126.290.794,,,63781317675.0,54126290794.0
Nam Phan,Chi phí phải trả ngắn hạn > Nam Phan,Nam Phan,Công ty con,Lãi vay,20.549.066.900,7.965.994.056,,,20549066900.0,7965994056.0
Kikyo Valora,Chi phí phải trả ngắn hạn > Kikyo Valora,Kikyo Valora,Công ty con,Lãi vay,9.633.333.334,3.550.000.000,,,9633333334.0,3550000000.0
Nam Long Mekong,Chi phí phải trả ngắn hạn > Nam Long Mekong,Nam Long Mekong,Công ty con,Lãi vay,4.185.577.155,4.797.388.564,,,4185577155.0,4797388564.0
Vận tải Nam Long,Chi phí phải trả ngắn hạn > Vận tải Nam Long,Vận tải Nam Long,Công ty con,Lãi vay,2.186.609.590,1.425.000.000,,,2186609590.0,1425000000.0
Nam Khang,Chi phí phải trả ngắn hạn > Nam Khang,Nam Khang,Công ty con,Lãi vay,1.890.888.889,29.861.666.666,,,1890888889.0,29861666666.0
Nam Long ADC,Chi phí phải trả ngắn hạn > Nam Long ADC,Nam Long ADC,Công ty con,Lãi vay,-,24.709.777.000,,,,24709777000.0
,,,,,102.226.793.543,126.436.117.080,,,102226793543.0,126436117080.0
