row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.852.706.600.000,988.508.364.367,(296.730.939.400),5.940.860.165,1.678.350.658.992,5.228.775.544.124,2852706600000.0,988508364367.0,-296730939400.0,5940860165.0,1678350658992.0,5228775544124.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,600.000.000.000,1.395.104.031.000,-,-,-,1.995.104.031.000,600000000000.0,1395104031000.0,,,,1995104031000.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,124.777.110.000,-,-,-,(124.777.110.000),-,124777110000.0,,,,-124777110000.0,
Phát hành cổ phiếu thường,Năm trước > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,239.039.900.000,-,-,-,(239.039.900.000),-,239039900000.0,,,,-239039900000.0,
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,,,
Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty,Phát hành cổ phiếu theo > Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty,Chương trình lựa chọn cho cán bộ quản lý cấp cao của Công ty,12.876.520.000,-,-,-,-,12.876.520.000,12876520000.0,,,,,12876520000.0
Tái phát hành cổ phiếu quỹ,Phát hành cổ phiếu theo > Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,-,47.659.060.600,296.730.939.400,-,-,344.390.000.000,,47659060600.0,296730939400.0,,,344390000000.0
Lợi nhuận thuần trong năm,Phát hành cổ phiếu theo > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,839.118.912.288,839.118.912.288,,,,,839118912288.0,839118912288.0
Cổ tức bằng tiền công bố,Phát hành cổ phiếu theo > Cổ tức bằng tiền công bố,Cổ tức bằng tiền công bố,-,-,-,-,(338.671.087.620),(338.671.087.620),,,,,-338671087620.0,-338671087620.0
Thường của Hội đồng Quản trị,Phát hành cổ phiếu theo > Thường của Hội đồng Quản trị,Thường của Hội đồng Quản trị,-,-,-,-,(8.350.000.000),(8.350.000.000),,,,,-8350000000.0,-8350000000.0
Trích lập quỹ khen thường phúc lợi,Phát hành cổ phiếu theo > Trích lập quỹ khen thường phúc lợi,Trích lập quỹ khen thường phúc lợi,-,-,-,-,(40.915.853.658),(40.915.853.658),,,,,-40915853658.0,-40915853658.0
Số cuối năm,Phát hành cổ phiếu theo > Số cuối năm,Số cuối năm,3.829.400.130.000,2.431.271.455.967,-,5.940.860.165,1.765.715.620.002,8.032.328.066.134,3829400130000.0,2431271455967.0,,5940860165.0,1765715620002.0,8032328066134.0
