row_label_raw,row_label_full,col_0,col_1,Số cuối năm,VND Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__VND Số đầu năm
Bất động sản dở dang (i),Bất động sản dở dang (i),Bất động sản dở dang (i),Bất động sản dở dang (i),1.303.396.661.984,1.339.899.464.784,,1303396661984.0,1339899464784.0
Dịch vụ quản lý dự án (ii),Dịch vụ quản lý dự án (ii),Dịch vụ quản lý dự án (ii),Dịch vụ quản lý dự án (ii),14.311.444.041,11.046.473.019,,14311444041.0,11046473019.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.317.708.106.025,1.350.945.937.803,,1317708106025.0,1350945937803.0
(i),(i),(i),Dự án bắt động sản dở dang:,,,,,
(i),(i) > (i),(i),Dự án Akari,553.922.742.327,664.535.750.295,,553922742327.0,664535750295.0
(i),(i) > (i),(i),Dự án Cần Thơ (**),506.547.742.078,343.255.734.672,,506547742078.0,343255734672.0
(i),(i) > (i),(i),Dự án Phước Long B - mở rộng,98.826.830.381,92.828.584.479,,98826830381.0,92828584479.0
(i),(i) > (i),(i),Dự án Tân Thuận Đông,67.309.814.654,57.691.717.579,,67309814654.0,57691717579.0
(i),(i) > (i),(i),Dự án VSIP,17.610.171.621,17.394.194.455,,17610171621.0,17394194455.0
(i),(i) > (i),(i),Dự án Long An 36ha (*),13.401.237.389,7.935.042.868,,13401237389.0,7935042868.0
(i),(i) > (i),(i),Dự án Areco (Flora Novia),12.143.551.106,109.373.924.357,,12143551106.0,109373924357.0
(i),(i) > (i),(i),Dự án Gò Ô Môi,9.702.909.742,8.134.628.009,,9702909742.0,8134628009.0
(i),(i) > (i),(i),Các dự án khác,23.931.662.686,38.749.888.070,,23931662686.0,38749888070.0
(ii),(ii),(ii),Dịch vụ quản lý dự án,,,,,
(ii),(ii) > (ii),(ii),Dự án Long An (*),9.205.365.331,-,,9205365331.0,
(ii),(ii) > (ii),(ii),Dự án Phú Hữu,5.106.078.710,-,,5106078710.0,
(ii),(ii) > (ii),(ii),Dự án Izumi City,-,11.046.473.019,,,11046473019.0
