row_label_raw,row_label_full,Bên liên quan > Nam Long VCD (**),Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Góp vốn > Nhận cố tức > Chi phí thuê > Doanh thu từ dịch vụquản lý dự án (*) > Phí dịch vụ quản lý > Trả gốc vay > Lãi vay,Năm nay > 1.000.000.000.000 > 53.431.441.650 > 2.402.883.636 > 1.000.000.000 > 728.697.085 > -,VNDNăm trước > - > 2.056.665.459 > 133.202.816.376 > - > 74.000.000.000 > 1.205.000.000,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Góp vốn > Nhận cố tức > Chi phí thuê > Doanh thu từ dịch vụquản lý dự án (*) > Phí dịch vụ quản lý > Trả gốc vay > Lãi vay,numeric__Năm nay > 1.000.000.000.000 > 53.431.441.650 > 2.402.883.636 > 1.000.000.000 > 728.697.085 > -,numeric__VNDNăm trước > - > 2.056.665.459 > 133.202.816.376 > - > 74.000.000.000 > 1.205.000.000
Thái Bình,Thái Bình,Thái Bình,Bên liên quan,Chuyển nhượng vốn,572.669.491.525,-,,,572669491525.0,
Thái Bình,Thái Bình,Thái Bình,Bên liên quan,Nhận chuyển nhượngcố phần,358.600.000.000,-,,,358600000000.0,
Thái Bình,Thái Bình,Thái Bình,Bên liên quan,Tạm ứng mua cố phần,293.769.491.525,-,,,293769491525.0,
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty con,Doanh thu từ dịch vụquản lý dự án (*),414.578.907.409,2.438.903.000,,,414578907409.0,2438903000.0
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty con,Góp vốn,349.652.100.000,-,,,349652100000.0,
Southgate,Southgate,Southgate,Công ty con,Doanh thu từ dịch vụquản lý dự án (*),317.296.301.853,308.879.311.345,,,317296301853.0,308879311345.0
Southgate,Southgate,Southgate,Công ty con,Nhận cố tức,57.000.000.000,46.277.910.959,,,57000000000.0,46277910959.0
Southgate,Southgate,Southgate,Công ty con,Dịch vụ bảo lãnh,-,994.072.221,,,,994072221.0
Nam Long CMI (***),Nam Long CMI (***),Nam Long CMI (***),Công ty con,Phí tư vấn quản lý,289.896.733.162,151.803.515.596,,,289896733162.0,151803515596.0
Nam Long CMI (***),Nam Long CMI (***),Nam Long CMI (***),Công ty con,Nhận cố tức,40.000.000.000,-,,,40000000000.0,
Nam Long CMI (***),Nam Long CMI (***),Nam Long CMI (***),Công ty con,Góp vốn,20.000.000.000,-,,,20000000000.0,
Nam Long CMI (***),Nam Long CMI (***),Nam Long CMI (***),Công ty con,Thanh lý tài sản,-,1.400.051.733,,,,1400051733.0
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công ty liên doanh,Doanh thu từ dịch vụquản lý dự án (*),268.568.989.360,128.664.002.690,,,268568989360.0,128664002690.0
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công ty liên doanh,Chia lợi nhuận,30.000.000.000,-,,,30000000000.0,
NNH Mizuki,NNH Mizuki,NNH Mizuki,Công ty liên doanh,Nhận cố tức,15.989.041.096,16.000.000.000,,,15989041096.0,16000000000.0
Nam Khang,Nam Khang,Nam Khang,Công ty con,Cổ tức được chia,225.000.000.000,284.000.000.000,,,225000000000.0,284000000000.0
Nam Khang,Nam Khang,Nam Khang,Công ty con,Trả gốc vay,157.000.000.000,-,,,157000000000.0,
Nam Khang,Nam Khang,Nam Khang,Công ty con,Chi phí xây dựng,25.594.747.211,41.634.381.938,,,25594747211.0,41634381938.0
Nam Khang,Nam Khang,Nam Khang,Công ty con,Lãi vay,25.009.333.334,28.945.555.555,,,25009333334.0,28945555555.0
Nam Khang,Nam Khang,Nam Khang,Công ty con,Đi vay,-,400.000.000.000,,,,400000000000.0
Nam Khang,Nam Khang,Nam Khang,Công ty con,Góp vốn,-,384.000.000.000,,,,384000000000.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Nhận cố tức,189.000.000.000,-,,,189000000000.0,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Trả gốc vay,154.000.000.000,-,,,154000000000.0,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Lãi vay,10.030.223.668,10.057.778.000,,,10030223668.0,10057778000.0
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,"Doanh thu từ dịch vụquản lý, tiếp thị, môi giớivà bán hàng dự án (*)",7.836.095.562,-,,,7836095562.0,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,Phí dịch vụ quản lý,2.580.109.241,7.548.040.215,,,2580109241.0,7548040215.0
