row_label_raw,row_label_full,19. VAY VÀ NỘ (tiếp theo),19. VAY VÀ NỘ (tiếp theo)_1,19. VAY VÀ NỘ (tiếp theo)_2,19. VAY VÀ NỘ (tiếp theo)_3,19. VAY VÀ NỘ (tiếp theo)_4,numeric__19. VAY VÀ NỘ (tiếp theo)_1,numeric__19. VAY VÀ NỘ (tiếp theo)_2,numeric__19. VAY VÀ NỘ (tiếp theo)_3,numeric__19. VAY VÀ NỘ (tiếp theo)_4
19.2 Vay ngắn hạn từ ngân hàngChi tiết các khoản vay ngắn hạn từ ngân hàng nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.2 Vay ngắn hạn từ ngân hàngChi tiết các khoản vay ngắn hạn từ ngân hàng nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.2 Vay ngắn hạn từ ngân hàngChi tiết các khoản vay ngắn hạn từ ngân hàng nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.2 Vay ngắn hạn từ ngân hàngChi tiết các khoản vay ngắn hạn từ ngân hàng nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.2 Vay ngắn hạn từ ngân hàngChi tiết các khoản vay ngắn hạn từ ngân hàng nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.2 Vay ngắn hạn từ ngân hàngChi tiết các khoản vay ngắn hạn từ ngân hàng nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.2 Vay ngắn hạn từ ngân hàngChi tiết các khoản vay ngắn hạn từ ngân hàng nhằm hỗ trợ nhu cầu vốn lưu động như sau:,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối nămVND,Ngày đảo hạn,Lãi suất(%/năm),Hình thức đảm bảo,,,,
Ngân hàng TMCP Phương Đông,Bên cho vay > Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,298.775.174.776,Ngày 1 tháng 6năm 2023,"9,60% - 10,70%","Thừa 2479, Tờ bản đồ số 5; Thừa 779,Tờ bản đồ số 6 và thừa 226, Tờ bản đốsố 5, Phường An Thạnh, Huyện Bến Lức,Tỉnh Long An thuộc sở hữu củaNam Long VCD (TM số 28)",298775174776.0,,,
Ngân hàng TMCP Ngoại ThươngViệt Nam - Chi nhánh TP.HCM,Bên cho vay > Ngân hàng TMCP Ngoại ThươngViệt Nam - Chi nhánh TP.HCM,Ngân hàng TMCP Ngoại ThươngViệt Nam - Chi nhánh TP.HCM,89.892.309.306,Ngày 28 tháng 12năm 2023,"9,00%",Tín chấp,89892309306.0,,0.09,
Ngân hàng TNHH MTV StandardChartered (Việt Nam),Bên cho vay > Ngân hàng TNHH MTV StandardChartered (Việt Nam),Ngân hàng TNHH MTV StandardChartered (Việt Nam),89.689.627.525,Ngày 31 tháng 3năm 2023,"9,39% - 10,18%","Thừa 6262, Tờ bản đồ số 6, PhườngAn Thạnh, Huyện Bến Lức, Tỉnh Long Ancủa Nam Long VCD (TM số 28)",89689627525.0,,,
TỔNG CỘNG,Bên cho vay > TỔNG CỘNG,TỔNG CỘNG,478.357.111.607,,,,478357111607.0,,,
19.3 Vay dài hạn bên liên quanChi tiết các khoản vay tin chấp dài hạn bên liên quan nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.3 Vay dài hạn bên liên quanChi tiết các khoản vay tin chấp dài hạn bên liên quan nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.3 Vay dài hạn bên liên quanChi tiết các khoản vay tin chấp dài hạn bên liên quan nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.3 Vay dài hạn bên liên quanChi tiết các khoản vay tin chấp dài hạn bên liên quan nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.3 Vay dài hạn bên liên quanChi tiết các khoản vay tin chấp dài hạn bên liên quan nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.3 Vay dài hạn bên liên quanChi tiết các khoản vay tin chấp dài hạn bên liên quan nhằm hỗ trợ nhu cầu vốn lưu động như sau:,19.3 Vay dài hạn bên liên quanChi tiết các khoản vay tin chấp dài hạn bên liên quan nhằm hỗ trợ nhu cầu vốn lưu động như sau:,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối nămVND,,Ngày đảo hạn,Lãi suất(%/năm),,,,
Nam Phan,Bên cho vay > Nam Phan,Nam Phan,192.042.091.910,,Ngày 15 tháng 5 năm 2023,"6,0%",192042091910.0,,,0.06
Nguyên Sơn,Bên cho vay > Nguyên Sơn,Nguyên Sơn,129.500.000.000,,Ngày 22 tháng 4 năm 2023,"6,0%",129500000000.0,,,0.06
Nam Long Mekong,Bên cho vay > Nam Long Mekong,Nam Long Mekong,34.020.552.171,,Ngày 31 tháng 12 năm 2024,"6,0%",34020552171.0,,,0.06
TỔNG CỘNG,Bên cho vay > TỔNG CỘNG,TỔNG CỘNG,355.562.644.081,,,,355562644081.0,,,
Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Bên cho vay > Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,321.542.091.91034.020.552.171,,,,3.2154209191034022e+22,,,
