row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,,,,
Thái Bình,Các khoản phải thu ngắn hạn của khách hàng > Thái Bình,Thái Bình,Bên liên quan,Chuyển nhượng vốn,278.900.000.000,-,,,278900000000.0,
NNH Mizuki,Các khoản phải thu ngắn hạn của khách hàng > NNH Mizuki,NNH Mizuki,Công ty liên doanh,Dịch vụ quản lý dự án,113.524.234.800,-,,,113524234800.0,
Waterfront Đồng Nai,Các khoản phải thu ngắn hạn của khách hàng > Waterfront Đồng Nai,Waterfront Đồng Nai,Công ty con,Dịch vụ quản lý dự án,72.065.988.360,-,,,72065988360.0,
Paragon,Các khoản phải thu ngắn hạn của khách hàng > Paragon,Paragon,Công ty liên doanh,Dịch vụ quản lý dự án,50.693.040.000,-,,,50693040000.0,
Southgate,Các khoản phải thu ngắn hạn của khách hàng > Southgate,Southgate,Công ty con,Dịch vụ quản lý dự án,30.288.286.080,39.360.504.000,,,30288286080.0,39360504000.0
Nguyên Sơn,Các khoản phải thu ngắn hạn của khách hàng > Nguyên Sơn,Nguyên Sơn,Công ty con,Dịch vụ tư vấn quản lý,25.679.365.900,27.649.371.302,,,25679365900.0,27649371302.0
Nam Long PMD,Các khoản phải thu ngắn hạn của khách hàng > Nam Long PMD,Nam Long PMD,Công ty con,Doanh thu bán trung tâm thương mại,21.595.105.325,21.595.105.325,,,21595105325.0,21595105325.0
Nam Long ADC,Các khoản phải thu ngắn hạn của khách hàng > Nam Long ADC,Nam Long ADC,Công ty con,Dịch vụ tư vấn quản lý,8.619.705.118,-,,,8619705118.0,
Nam Long Mekong,Các khoản phải thu ngắn hạn của khách hàng > Nam Long Mekong,Nam Long Mekong,Công ty con,Dịch vụ tư vấn quản lý,7.579.429.438,7.579.429.438,,,7579429438.0,7579429438.0
Anabuki,Các khoản phải thu ngắn hạn của khách hàng > Anabuki,Anabuki,Bên liên quan,Dịch vụ tư vấn quản lý,1.826.212.914,-,,,1826212914.0,
Nam Long CMI,Các khoản phải thu ngắn hạn của khách hàng > Nam Long CMI,Nam Long CMI,Công ty con,Thanh lý tài sản,1.351.964.652,1.351.964.652,,,1351964652.0,1351964652.0
Nam Long VCD,Các khoản phải thu ngắn hạn của khách hàng > Nam Long VCD,Nam Long VCD,Công ty con,Dịch vụ tư vấn quản lý,1.080.000.000,16.652.408.048,,,1080000000.0,16652408048.0
Dịch vụ Nam Long,Các khoản phải thu ngắn hạn của khách hàng > Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Dịch vụ tư vấn quản lý,733.212.590,3.010.349.893,,,733212590.0,3010349893.0
Vận tải Nam Long,Các khoản phải thu ngắn hạn của khách hàng > Vận tải Nam Long,Vận tải Nam Long,Công ty con,Thanh lý tài sản,-,5.983.127.450,,,,5983127450.0
Các cá nhân,Các khoản phải thu ngắn hạn của khách hàng > Các cá nhân,Các cá nhân,Bên liên quan,Bán căn hộ,-,51.000.000,,,,51000000.0
,,,,,613.936.545.177,123.233.260.108,,,613936545177.0,123233260108.0
