row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Số đầu năm > Tăng,Số đầu năm > Giảm,Trong năm > VNDGóp vốn bằng khoản vay,Trong năm > VNDGiá trị/Số có khả năng trả nợ,Số cuối năm,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > Tăng,numeric__Số đầu năm > Giảm,numeric__Trong năm > VNDGóp vốn bằng khoản vay,numeric__Trong năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,71.486.976.273,134.130.579.305,205.617.555.578,-,-,,71486976273.0,134130579305.0,205617555578.0,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,28.774.231.075,29.031.762.597,57.805.993.672,-,-,,28774231075.0,29031762597.0,57805993672.0,,,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,16.365.129.428,3.497.341.385,19.862.470.813,-,-,,16365129428.0,3497341385.0,19862470813.0,,,
Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,26.347.615.770,101.601.475.323,127.949.091.093,-,-,,26347615770.0,101601475323.0,127949091093.0,,,
Vay và nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 26),Vay và nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 26),Vay và nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 26),230.818.098.004,617.740.478.554,377.400.192.837,2.004.171.601,469.154.212.120,,230818098004.0,617740478554.0,377400192837.0,2004171601.0,469154212120.0,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,228.000.000.000,616.024.000.000,375.024.000.000,-,469.000.000.000,,228000000000.0,616024000000.0,375024000000.0,,469000000000.0,
Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,2.818.098.004,1.716.478.554,2.376.192.837,2.004.171.601,154.212.120,,2818098004.0,1716478554.0,2376192837.0,2004171601.0,154212120.0,
,,,302.305.074.277,751.871.057.859,583.017.748.415,2.004.171.601,469.154.212.120,,302305074277.0,751871057859.0,583017748415.0,2004171601.0,469154212120.0,
