row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > VNDGiá trịcó thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > VNDGiá trịcó thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > VNDGiá trịcó thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > VNDGiá trịcó thể thu hồi
Công ty Cổ phần Bê tông khí Viglacera,Công ty Cổ phần Bê tông khí Viglacera,Công ty Cổ phần Bê tông khí Viglacera,42.444.545.975,4.367.603.121,39.930.811.630,2.685.341.302,42444545975.0,4367603121.0,39930811630.0,2685341302.0
Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,28.795.000.000,-,28.795.000.000,28.795.000.000,28795000000.0,,28795000000.0,28795000000.0
Công ty Vimariel - CTCP,Công ty Vimariel - CTCP,Công ty Vimariel - CTCP,27.956.932.268,2.977.450.446,-,-,27956932268.0,2977450446.0,,
Công ty Cổ phần Tư vấn Viglacera,Công ty Cổ phần Tư vấn Viglacera,Công ty Cổ phần Tư vấn Viglacera,6.041.961.843,11.254.466,6.129.754.990,24.804.144,6041961843.0,11254466.0,6129754990.0,24804144.0
Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,6.276.862.862,-,6.276.862.862,-,6276862862.0,,6276862862.0,
Công ty Cổ phần Công nghệ kính Sado,Công ty Cổ phần Công nghệ kính Sado,Công ty Cổ phần Công nghệ kính Sado,4.608.080.376,2.507.749.290,5.628.095.883,3.309.927.711,4608080376.0,2507749290.0,5628095883.0,3309927711.0
Công ty TNHH JUNA,Công ty TNHH JUNA,Công ty TNHH JUNA,5.191.824.617,-,5.191.824.617,-,5191824617.0,,5191824617.0,
Công ty Cổ phần Bá Hiến,Công ty Cổ phần Bá Hiến,Công ty Cổ phần Bá Hiến,4.908.189.208,-,4.908.189.208,-,4908189208.0,,4908189208.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,83.981.918.571,19.460.264.189,93.271.999.789,24.234.009.952,83981918571.0,19460264189.0,93271999789.0,24234009952.0
,,,210.205.315.720,29.324.321.512,190.132.538.979,59.049.083.109,210205315720.0,29324321512.0,190132538979.0,59049083109.0
Tổng giá trị dự phòng đã trích lập,Tổng giá trị dự phòng đã trích lập,Tổng giá trị dự phòng đã trích lập,,180.880.994.208,,131.083.455.870,,180880994208.0,,131083455870.0
