row_label_raw,row_label_full,col_0,Nhà và quyềnsử dụng đấtVND,Cơ sở hạ tầngVND,TổngVND,numeric__Nhà và quyềnsử dụng đấtVND,numeric__Cơ sở hạ tầngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.330.182.532.657,10.265.867.719.485,11.596.050.252.142,1330182532657.0,10265867719485.0,11596050252142.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,497.925.111.347,1.113.362.903.005,1.611.288.014.352,497925111347.0,1113362903005.0,1611288014352.0
Chuyển sang tài sản cố định hữu hình,NGUYÊN GIÁ > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(84.837.268.295),-,(84.837.268.295),-84837268295.0,,-84837268295.0
Chuyển sang hàng tồn kho để bán,NGUYÊN GIÁ > Chuyển sang hàng tồn kho để bán,Chuyển sang hàng tồn kho để bán,(90.166.656.265),-,(90.166.656.265),-90166656265.0,,-90166656265.0
Điều chỉnh do thay đổi suất đầu tư (i),NGUYÊN GIÁ > Điều chỉnh do thay đổi suất đầu tư (i),Điều chỉnh do thay đổi suất đầu tư (i),-,(377.143.519.220),(377.143.519.220),,-377143519220.0,-377143519220.0
Giám khác,NGUYÊN GIÁ > Giám khác,Giám khác,(14.578.357.491),-,(14.578.357.491),-14578357491.0,,-14578357491.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.638.525.361.953,11.002.087.103.270,12.640.612.465.223,1638525361953.0,11002087103270.0,12640612465223.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,485.889.618.465,9.208.605.556.723,9.694.495.175.188,485889618465.0,9208605556723.0,9694495175188.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,44.354.188.667,1.149.014.243.929,1.193.368.432.596,44354188667.0,1149014243929.0,1193368432596.0
Chuyển sang tài sản cố định hữu hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(34.180.785.820),-,(34.180.785.820),-34180785820.0,,-34180785820.0
Điều chỉnh do thay đổi suất đầu tư (i),GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chỉnh do thay đổi suất đầu tư (i),Điều chỉnh do thay đổi suất đầu tư (i),-,(373.596.740.262),(373.596.740.262),,-373596740262.0,-373596740262.0
Giám khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giám khác,Giám khác,(837.445.647),-,(837.445.647),-837445647.0,,-837445647.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,495.225.575.665,9.984.023.060.390,10.479.248.636.055,495225575665.0,9984023060390.0,10479248636055.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,844.292.914.192,1.057.262.162.762,1.901.555.076.954,844292914192.0,1057262162762.0,1901555076954.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.143.299.786.288,1.018.064.042.880,2.161.363.829.168,1143299786288.0,1018064042880.0,2161363829168.0
