row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VND Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > VND Giá trị hợp lý,numeric__col_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > VND Giá trị hợp lý
STT,STT,STT,b. Đầu tư vào công ty con,5.981.725.173.629,(962.402.818.241),,3.339.869.665.817,(458.308.772.554),,,5981725173629.0,-962402818241.0,,3339869665817.0,-458308772554.0,
1.,1.,1.,Công ty Cổ phần Đầu tư'VIHOCE Tiên Dương (i),825.000.000.000,-,,-,-,,,825000000000.0,,,,,
2.,2.,2.,Công ty Cổ phần Viglacera Vân Hải (i),789.985.611.563,(125.601.749.296),,789.985.611.563,(28.385.810.067),,,789985611563.0,-125601749296.0,,789985611563.0,-28385810067.0,
3.,3.,3.,Công ty Cổ phần Viglacera Thái Nguyên (i),719.100.000.000,-,,306.000.000.000,-,,,719100000000.0,,,306000000000.0,,
4.,4.,4.,Công ty TNHH Kính nổi siêu trắng Phú Mỹ (i),660.100.000.000,(207.641.829.240),,660.100.000.000,(29.742.147.241),,,660100000000.0,-207641829240.0,,660100000000.0,-29742147241.0,
5.,5.,5.,Công ty TNHH Kính nổi Việt Nam (i),597.410.000.000,(203.492.369.230),,-,-,,,597410000000.0,-203492369230.0,,,,
6.,6.,6.,Công ty TNHH Một Thành viên Thiết bị vệ sinh Viglacera (i),486.000.000.000,(51.358.806.568),,-,-,,,486000000000.0,-51358806568.0,,,,
7.,7.,7.,Công ty ViMariel - CTCP (i),426.575.716.405,-,,395.514.867.126,-,,,426575716405.0,,,395514867126.0,,
8.,8.,8.,Công ty Cổ phần Kính Đáp Cầu (ii),280.645.000.000,(280.645.000.000),145.166.000.000,280.645.000.000,(280.645.000.000),119.243.500.000,,280645000000.0,-280645000000.0,145166000000.0,280645000000.0,-280645000000.0,119243500000.0
9.,9.,9.,Công ty Cổ phần Viglacera Tiên Sơn (iii),245.248.800.000,-,612.000.000.000,245.248.800.000,-,522.750.000.000,,245248800000.0,,612000000000.0,245248800000.0,,522750000000.0
10.,10.,10.,Công ty Cổ phần Viglacera Hạ Long (iii),226.136.894.000,-,135.025.975.000,226.136.894.000,-,126.192.500.000,,226136894000.0,,135025975000.0,226136894000.0,,126192500000.0
11.,11.,11.,Công ty Cổ phần Viglacera Phú Thọ (i),206.000.000.000,-,,-,-,,,206000000000.0,,,,,
12.,12.,12.,Công ty Cổ phần Phát triển Khu công nghiệp Viglacera Yên Mỹ (i),180.000.000.000,-,,180.000.000.000,-,,,180000000000.0,,,180000000000.0,,
13.,13.,13.,Công ty Cổ phần Viglacera Hưng Yên (i),178.500.000.000,-,,-,-,,,178500000000.0,,,,,
14.,14.,14.,Công ty Cổ phần Bề tông khí Viglacera (i),62.200.000.000,(62.200.000.000),,62.200.000.000,(62.200.000.000),,,62200000000.0,-62200000000.0,,62200000000.0,-62200000000.0,
15.,15.,15.,Công ty Cổ phần Viglacera Hà Nội (ii),28.560.000.000,-,75.112.800.000,28.560.000.000,-,29.988.000.000,,28560000000.0,,75112800000.0,28560000000.0,,29988000000.0
16.,16.,16.,Công ty Cổ phần Từ Liêm (i),22.876.640.252,(22.321.077.594),,22.876.640.252,(22.876.640.252),,,22876640252.0,-22321077594.0,,22876640252.0,-22876640252.0,
17.,17.,17.,Công ty Cổ phần Viglacera Thăng Long (ii),21.420.000.000,-,94.605.000.000,21.420.000.000,-,48.195.000.000,,21420000000.0,,94605000000.0,21420000000.0,,48195000000.0
18.,18.,18.,Công ty Cổ phần Khoáng sản Viglacera (ii),7.447.460.436,-,6.757.500.000,7.447.460.436,-,12.813.750.000,,7447460436.0,,6757500000.0,7447460436.0,,12813750000.0
19.,19.,19.,Công ty Cổ phần Bao bì và Má phanh Viglacera (i),6.553.719.948,-,,6.553.719.948,-,,,6553719948.0,,,6553719948.0,,
