row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Bản quyền, bằng sáng chế",Phần mềm máy tính,"Chi phí đến bù, san lắp mặt bằng",Khác,Tổng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế",numeric__Phần mềm máy tính,"numeric__Chi phí đến bù, san lắp mặt bằng",numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,68.545.687.797,3.305.486.937,3.272.288.914,93.259.704.164,8.674.997.834,177.058.165.646,68545687797.0,3305486937.0,3272288914.0,93259704164.0,8674997834.0,177058165646.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,68.545.687.797,3.305.486.937,3.272.288.914,93.259.704.164,8.674.997.834,177.058.165.646,68545687797.0,3305486937.0,3272288914.0,93259704164.0,8674997834.0,177058165646.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,10.609.158.303,1.466.332.169,3.264.598.493,24.930.027.255,2.313.332.736,42.583.448.956,10609158303.0,1466332169.0,3264598493.0,24930027255.0,2313332736.0,42583448956.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,515.531.976,275.457.252,11.542.500,2.186.773.796,433.749.888,3.423.055.412,515531976.0,275457252.0,11542500.0,2186773796.0,433749888.0,3423055412.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,3.852.079,(3.852.079),-,-,-,,3852079.0,-3852079.0,,,
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,11.124.690.279,1.745.641.500,3.272.288.914,27.116.801.051,2.747.082.624,46.006.504.368,11124690279.0,1745641500.0,3272288914.0,27116801051.0,2747082624.0,46006504368.0
GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LAI > Tại ngày đầu năm,Tại ngày đầu năm,57.936.529.494,1.839.154.768,7.690.421,68.329.676.909,6.361.665.098,134.474.716.690,57936529494.0,1839154768.0,7690421.0,68329676909.0,6361665098.0,134474716690.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LAI > Tại ngày cuối năm,Tại ngày cuối năm,57.420.997.518,1.559.845.437,-,66.142.903.113,5.927.915.210,131.051.661.278,57420997518.0,1559845437.0,,66142903113.0,5927915210.0,131051661278.0
