row_label_raw,row_label_full,col_0,CHỈ TIỀU,Mã số,Năm nay,Năm trước,numeric__CHỈ TIỀU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III.,III.,III.,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,Tiền thu từ đi vay,33,1.719.789.182.010,796.819.959.269,,33.0,1719789182010.0,796819959269.0
2.,III. > 2.,2.,Tiền trả nợ gốc vay,34,(583.641.555.578),(532.317.543.778),,34.0,-583641555578.0,-532317543778.0
3.,III. > 3.,3.,Tiền trả nợ gốc thuê tài chính,35,(5.508.899.454),(4.868.829.000),,35.0,-5508899454.0,-4868829000.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(986.646.701.811),(560.380.785.000),,36.0,-986646701811.0,-560380785000.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,143.992.025.167,(300.747.198.509),,40.0,143992025167.0,-300747198509.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(1.215.042.479.045),986.789.050.473,,50.0,-1215042479045.0,986789050473.0
,,,Tiền và tương đương tiền đầu năm,60,1.616.691.651.304,629.829.300.389,,60.0,1616691651304.0,629829300389.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,243.280.156,73.300.442,,61.0,243280156.0,73300442.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,401.892.452.415,1.616.691.651.304,,70.0,401892452415.0,1616691651304.0
