row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VND Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > VND Giá trị hợp lý,numeric__col_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > VND Giá trị hợp lý
20.,20.,20.,Công ty Cổ phần Gốm Xây dựng Hữu Hưng (i),5.246.606.313,(5.246.606.313),,5.246.606.313,(5.246.606.313),,,5246606313.0,-5246606313.0,,5246606313.0,-5246606313.0,
21.,21.,21.,Công ty Cổ phần 382 Đông Anh (ii),3.895.380.000,(3.895.380.000),3.229.065.000,3.895.380.000,(3.895.380.000),2.306.475.000,,3895380000.0,-3895380000.0,3229065000.0,3895380000.0,-3895380000.0,2306475000.0
22.,22.,22.,Công ty Cổ phần Tư vấn Viglacera (i),2.823.344.712,-,,2.823.344.712,-,,,2823344712.0,,,2823344712.0,,
23.,23.,23.,Công ty Cổ phần Việt Trì Viglacera (i),-,-,,29.999.243.861,-,,,,,,29999243861.0,,
24.,24.,24.,Công ty Cổ phần Sử Viglacera Thanh Trì (ii),-,-,,39.898.908.925,-,29.844.304.000,,,,,39898908925.0,,29844304000.0
25.,25.,25.,Công ty Cổ phần Thương mại Viglacera (i),-,-,,22.171.173.381,(22.171.173.381),,,,,,22171173381.0,-22171173381.0,
26.,26.,26.,Công ty TNHH CHAO - Viglacera (i),-,-,,3.146.015.300,(3.146.015.300),,,,,,3146015300.0,-3146015300.0,
STT,STT,STT,"c. Đầu tư vào công ty liên doanh, liên kết",164.495.540.056,(5.691.778.157),,445.079.247.897,(28.446.862.567),,,164495540056.0,-5691778157.0,,445079247897.0,-28446862567.0,
1.,1.,1.,Công ty SanVig - CTCP (i),132.383.312.719,-,,126.146.020.560,-,,,132383312719.0,,,126146020560.0,,
2.,2.,2.,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),21.789.858.320,-,,21.789.858.320,-,,,21789858320.0,,,21789858320.0,,
3.,3.,3.,Công ty Cổ phần Gạch ngói Từ Sơn (ii),4.837.506.400,(2.311.629.791),2.443.688.800,4.837.506.400,(2.493.152.358),5.934.672.800,,4837506400.0,-2311629791.0,2443688800.0,4837506400.0,-2493152358.0,5934672800.0
4.,4.,4.,Công ty Cổ phần Gạch chịu lửa Cầu Dương (i),3.482.862.617,(1.378.148.366),,3.482.862.617,(1.426.028.235),,,3482862617.0,-1378148366.0,,3482862617.0,-1426028235.0,
5.,5.,5.,Công ty Cổ phần Gốm xây dựng Yên Hưng (ii),2.002.000.000,(2.002.000.000),2.860.000.000,2.002.000.000,(2.002.000.000),4.290.000.000,,2002000000.0,-2002000000.0,2860000000.0,2002000000.0,-2002000000.0,4290000000.0
6.,6.,6.,Công ty TNHH Kính nối Việt Nam (i),-,-,,286.821.000.000,(22.525.681.974),,,,,,286821000000.0,-22525681974.0,
STT,STT,STT,d. Đầu tư vào đơn vị khác,8.242.682.344,(623.513.782),,8.242.682.344,(623.513.782),,,8242682344.0,-623513782.0,,8242682344.0,-623513782.0,
1.,1.,1.,Công ty Cổ phần Visaho (i),5.400.000.000,-,,5.400.000.000,-,,,5400000000.0,,,5400000000.0,,
2.,2.,2.,Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc (i),1.305.017.929,(623.330.293),,1.305.017.929,(623.330.293),,,1305017929.0,-623330293.0,,1305017929.0,-623330293.0,
3.,3.,3.,Công ty Cổ phần Cầu Xây (i),1.184.497.242,-,,1.184.497.242,-,,,1184497242.0,,,1184497242.0,,
4.,4.,4.,Công ty Cổ phần Tư vấn Xây dựng Viglacera Land (i),353.167.173,(183.489),,353.167.173,(183.489),,,353167173.0,-183489.0,,353167173.0,-183489.0,
,,,,6.154.463.396.029,(968.718.110.180),,3.793.191.596.058,(487.379.148.903),,,6154463396029.0,-968718110180.0,,3793191596058.0,-487379148903.0,
