row_label_raw,row_label_full,col_0,Năm nay,Năm nay_1,Năm nay_2,Năm trước,Năm trước_1,Năm trước_2,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm nay_2,numeric__Năm trước,numeric__Năm trước_1,numeric__Năm trước_2
,,,Hoạt độngbất động sản,Hoạt động SXKDkhác,VNDTổng,Hoạt độngbất động sản,Hoạt động SXKDkhác,VNDTổng,,,,,,
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.272.302.829.684,262.552.884.847,1.534.855.714.531,1.359.474.084.914,121.958.328.829,1.481.432.413.743,1272302829684.0,262552884847.0,1534855714531.0,1359474084914.0,121958328829.0,1481432413743.0
Điều chính cho thu nhập tính thuế,Điều chính cho thu nhập tính thuế,Điều chính cho thu nhập tính thuế,,,,,,,,,,,,
Trừ:,Điều chính cho thu nhập tính thuế > Trừ:,Trừ:,(1.807.988.208),(234.753.570.461),(236.561.558.669),(4.281.146.416),(175.809.604.823),(180.090.751.239),-1807988208.0,-234753570461.0,-236561558669.0,-4281146416.0,-175809604823.0,-180090751239.0
Thu nhập từ cố tức,Điều chính cho thu nhập tính thuế > Thu nhập từ cố tức,Thu nhập từ cố tức,-,(234.031.046.000),(234.031.046.000),-,(163.723.208.000),(163.723.208.000),,-234031046000.0,-234031046000.0,,-163723208000.0,-163723208000.0
Ảnh hưởng của các khoản chênhlệch tạm thời,Điều chính cho thu nhập tính thuế > Ảnh hưởng của các khoản chênhlệch tạm thời,Ảnh hưởng của các khoản chênhlệch tạm thời,(1.807.988.208),(722.524.461),(2.530.512.669),(4.281.146.416),(12.086.396.823),(16.367.543.239),-1807988208.0,-722524461.0,-2530512669.0,-4281146416.0,-12086396823.0,-16367543239.0
Cộng:,Điều chính cho thu nhập tính thuế > Cộng:,Cộng:,1.910.887.464,208.362.976.674,210.273.864.138,15.860.952.278,118.738.647.404,134.599.599.682,1910887464.0,208362976674.0,210273864138.0,15860952278.0,118738647404.0,134599599682.0
Chi phí không được trừ,Điều chính cho thu nhập tính thuế > Chi phí không được trừ,Chi phí không được trừ,975.593.468,82.227.195.792,83.202.789.260,11.481.530.298,118.073.142.372,129.554.672.670,975593468.0,82227195792.0,83202789260.0,11481530298.0,118073142372.0,129554672670.0
Dự phòng khoản cố tức được chiakhó đòi,Điều chính cho thu nhập tính thuế > Dự phòng khoản cố tức được chiakhó đòi,Dự phòng khoản cố tức được chiakhó đòi,-,28.795.000.000,28.795.000.000,-,-,-,,28795000000.0,28795000000.0,,,
Khác biệt trong cơ sở tính thuế và kếtoán,Điều chính cho thu nhập tính thuế > Khác biệt trong cơ sở tính thuế và kếtoán,Khác biệt trong cơ sở tính thuế và kếtoán,-,94.129.705.899,94.129.705.899,-,-,-,,94129705899.0,94129705899.0,,,
Điều chính khác,Điều chính cho thu nhập tính thuế > Điều chính khác,Điều chính khác,67.854.815,-,67.854.815,72.014.423,-,72.014.423,67854815.0,,67854815.0,72014423.0,,72014423.0
Ảnh hưởng của các khoản chênhlệch tạm thời,Điều chính cho thu nhập tính thuế > Ảnh hưởng của các khoản chênhlệch tạm thời,Ảnh hưởng của các khoản chênhlệch tạm thời,867.439.181,3.211.074.983,4.078.514.164,4.307.407.557,665.505.032,4.972.912.589,867439181.0,3211074983.0,4078514164.0,4307407557.0,665505032.0,4972912589.0
Thu nhập tính thuế năm hiện hành,Điều chính cho thu nhập tính thuế > Thu nhập tính thuế năm hiện hành,Thu nhập tính thuế năm hiện hành,1.272.405.728.940,236.162.291.060,1.508.568.020.000,1.371.053.890.776,64.887.371.410,1.435.941.262.186,1272405728940.0,236162291060.0,1508568020000.0,1371053890776.0,64887371410.0,1435941262186.0
Thu nhập chịu thuế suất 20%,Điều chính cho thu nhập tính thuế > Thu nhập chịu thuế suất 20%,Thu nhập chịu thuế suất 20%,1.261.905.679.584,196.848.882.138,1.458.754.561.722,1.369.547.334.979,59.566.157.086,1.429.113.492.065,1261905679584.0,196848882138.0,1458754561722.0,1369547334979.0,59566157086.0,1429113492065.0
Thu nhập chịu thuế suất 17%,Điều chính cho thu nhập tính thuế > Thu nhập chịu thuế suất 17%,Thu nhập chịu thuế suất 17%,-,18.248.777.468,18.248.777.468,-,999.486.574,999.486.574,,18248777468.0,18248777468.0,,999486574.0,999486574.0
Thu nhập chịu thuế suất 10%,Điều chính cho thu nhập tính thuế > Thu nhập chịu thuế suất 10%,Thu nhập chịu thuế suất 10%,10.500.049.356,21.064.631.454,31.564.680.810,1.506.555.797,4.321.727.750,5.828.283.547,10500049356.0,21064631454.0,31564680810.0,1506555797.0,4321727750.0,5828283547.0
Chi phí thuế thu nhập doanhnghiệp phát sinh,Điều chính cho thu nhập tính thuế > Chi phí thuế thu nhập doanhnghiệp phát sinh,Chi phí thuế thu nhập doanhnghiệp phát sinh,253.431.140.852,44.578.531.743,298.009.672.595,274.060.122.576,12.515.316.910,286.575.439.486,253431140852.0,44578531743.0,298009672595.0,274060122576.0,12515316910.0,286575439486.0
