row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Số đầu năm > Tăng,Trong năm > Giám,Trong năm > VNDGóp vốn bằng khoản vay,Số cuối năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > Tăng,numeric__Trong năm > Giám,numeric__Trong năm > VNDGóp vốn bằng khoản vay,numeric__Số cuối năm > VNDGiá trị/Số có khả năng trả nợ
Vay dài hạn,Vay dài hạn,Vay dài hạn,934.306.669.686,1.579.851.223.985,378.024.000.000,-,2.136.133.893.671,934306669686.0,1579851223985.0,378024000000.0,,2136133893671.0
Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,934.306.669.686,1.077.099.673.764,378.024.000.000,-,1.633.382.343.450,934306669686.0,1077099673764.0,378024000000.0,,1633382343450.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,-,502.751.550.221,-,-,502.751.550.221,,502751550221.0,,,502751550221.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,7.777.912.300,5.807.378.720,5.508.899.454,7.058.591.566,1.017.800.000,7777912300.0,5807378720.0,5508899454.0,7058591566.0,1017800000.0
Công ty Cho thuê tài chính TNHH MTV Ngân hàng Ngoại thương Việt Nam,Công ty Cho thuê tài chính TNHH MTV Ngân hàng Ngoại thương Việt Nam,Công ty Cho thuê tài chính TNHH MTV Ngân hàng Ngoại thương Việt Nam,-,1.017.800.000,-,-,1.017.800.000,,1017800000.0,,,1017800000.0
Công ty Cho thuê tài chính TNHH MTV Ngân hàng Công thương Việt Nam,Công ty Cho thuê tài chính TNHH MTV Ngân hàng Công thương Việt Nam,Công ty Cho thuê tài chính TNHH MTV Ngân hàng Công thương Việt Nam,2.107.912.300,-,2.107.912.300,-,-,2107912300.0,,2107912300.0,,
Công ty TNHH Cho thuê Tài chính Quốc tế Việt Nam,Công ty TNHH Cho thuê Tài chính Quốc tế Việt Nam,Công ty TNHH Cho thuê Tài chính Quốc tế Việt Nam,5.670.000.000,4.789.578.720,3.400.987.154,7.058.591.566,-,5670000000.0,4789578720.0,3400987154.0,7058591566.0,
,,,942.084.581.986,1.585.658.602.705,383.532.899.454,7.058.591.566,2.137.151.693.671,942084581986.0,1585658602705.0,383532899454.0,7058591566.0,2137151693671.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
- Số phải trả trong vòng 12 tháng,Trong đó: > - Số phải trả trong vòng 12 tháng,- Số phải trả trong vòng 12 tháng,230.818.098.004,,,,469.154.212.120,230818098004.0,,,,469154212120.0
- Số phải trả sau 12 tháng,Trong đó: > - Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,711.266.483.982,,,,1.667.997.481.551,711266483982.0,,,,1667997481551.0
