row_label_raw,row_label_full,col_0,31/12/2016 > Giá trị,31/12/2016 > Dự phòng,01/01/2016 > Giá trị,01/01/2016 > Dự phòng,numeric__31/12/2016 > Giá trị,numeric__31/12/2016 > Dự phòng,numeric__01/01/2016 > Giá trị,numeric__01/01/2016 > Dự phòng
,,,VND,VND,VND,VND,,,,
- Phải thu về cổ tức và lợi nhuận được chia,- Phải thu về cổ tức và lợi nhuận được chia,- Phải thu về cổ tức và lợi nhuận được chia,27.985.638.471,-,995.990.483,-,27985638471.0,,995990483.0,
- Phải thu BHXH của CBCNV,- Phải thu BHXH của CBCNV,- Phải thu BHXH của CBCNV,532.655.802,-,262.603.265,-,532655802.0,,262603265.0,
- Tạm ứng,- Tạm ứng,- Tạm ứng,12.036.351.108,-,10.331.877.244,-,12036351108.0,,10331877244.0,
- Phải thu Phan Ngọc Tiến (Đội Xây lắp số 1),- Phải thu Phan Ngọc Tiến (Đội Xây lắp số 1),- Phải thu Phan Ngọc Tiến (Đội Xây lắp số 1),418.555.690,(418.555.690),418.555.690,(418.555.690),418555690.0,-418555690.0,418555690.0,-418555690.0
- Phải thu Trần Nhung (Đội Xây lắp số 3),- Phải thu Trần Nhung (Đội Xây lắp số 3),- Phải thu Trần Nhung (Đội Xây lắp số 3),2.151.632.200,(2.151.632.200),2.151.632.200,(2.151.632.200),2151632200.0,-2151632200.0,2151632200.0,-2151632200.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,20.710.194.064,-,4.044.176.489,-,20710194064.0,,4044176489.0,
,,,63.835.027.335,(2.570.187.890),18.204.835.371,(2.570.187.890),63835027335.0,-2570187890.0,18204835371.0,-2570187890.0
,,,31/12/2016,31/12/2016,01/01/2016,01/01/2016,,,,
,,,Giá trị,Dự phòng,Giá trị,Dự phòng,,,,
b) Phải thu khách hàng là các bên liên quan(Xam thông tin chỉ tiết trị),b) Phải thu khách hàng là các bên liên quan(Xam thông tin chỉ tiết trị),b) Phải thu khách hàng là các bên liên quan(Xam thông tin chỉ tiết trị),27.985.638.471,-,995.990.483,-,27985638471.0,,995990483.0,
