row_label_raw,row_label_full,col_0,Xây lắp,Sản xuất công nghiệp,Bất động sản,Thủy điện,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Xây lắp,numeric__Sản xuất công nghiệp,numeric__Bất động sản,numeric__Thủy điện,numeric__Các hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.459.352.968.303,118.958.488.793,463.567.431.854,-,190.191.497.715,2.232.070.386.665,1459352968303.0,118958488793.0,463567431854.0,,190191497715.0,2232070386665.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,1.302.280.766.493,96.470.177.388,323.069.828.214,-,172.791.563.570,1.894.612.335.665,1302280766493.0,96470177388.0,323069828214.0,,172791563570.0,1894612335665.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,157.072.201.810,22.488.311.405,140.497.603.640,-,17.399.934.145,337.458.051.000,157072201810.0,22488311405.0,140497603640.0,,17399934145.0,337458051000.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,6.351.460.775,1.921.616.525,24.269.520.970,818.224.316.207,-,850.766.914.477,6351460775.0,1921616525.0,24269520970.0,818224316207.0,,850766914477.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,665.698.666.254,77.096.453.700,462.390.517.666,1.365.136.949.246,125.226.233.748,2.695.548.820.614,665698666254.0,77096453700.0,462390517666.0,1365136949246.0,125226233748.0,2695548820614.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,485.408.948.716,,,,,,485408948716.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,665.698.666.254,77.096.453.700,462.390.517.666,1.365.136.949.246,125.226.233.748,3.180.957.769.330,665698666254.0,77096453700.0,462390517666.0,1365136949246.0,125226233748.0,3180957769330.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,490.491.891.788,23.062.794.412,62.055.786.797,687.670.281.409,3.280.293.352,1.266.561.047.758,490491891788.0,23062794412.0,62055786797.0,687670281409.0,3280293352.0,1266561047758.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,67.052.681.189,,,,,,67052681189.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,490.491.891.788,23.062.794.412,62.055.786.797,687.670.281.409,3.280.293.352,1.333.613.728.947,490491891788.0,23062794412.0,62055786797.0,687670281409.0,3280293352.0,1333613728947.0
