row_label_raw,row_label_full,Bà Nguyễn Thị Hải Hà,Trường ban,numeric__Trường ban
Ông Nguyễn Anh Tuán,Ông Nguyễn Anh Tuán,Ông Nguyễn Anh Tuán,Thành viên,
Ông Nguyễn Quang Vũ,Ông Nguyễn Quang Vũ,Ông Nguyễn Quang Vũ,Thành viên,
