row_label_raw,row_label_full,col_0,Loại tiền,Hình thức đảm bảo,31/12/2016,01/01/2016,numeric__Loại tiền,numeric__Hình thức đảm bảo,numeric__31/12/2016,numeric__01/01/2016
,,,Loại tiền,Hình thức đảm bảo,VND,VND,,,,
Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,VND,Tín chấp,-,15.000.000.000,,,,15000000000.0
Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Công ty Cổ phần Cơ khí Ô tô Hòa Bình,VND,Tín chấp,5.500.000.000,-,,,5500000000.0,
,,,,,5.500.000.000,15.000.000.000,,,5500000000.0,15000000000.0
