row_label_raw,row_label_full,3.2. Cho vay các tổ chức tín dụng khác,31/12/2015,01/01/2015,numeric__31/12/2015,numeric__01/01/2015
Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,385.000.000.000,2.500.000.000.000,385000000000.0,2500000000000.0
Bằng VND (*),Bằng VND (*),Bằng VND (*),385.000.000.000,2.500.000.000.000,385000000000.0,2500000000000.0
Bằng ngoại hồi,Bằng ngoại hồi,Bằng ngoại hồi,-,-,,
Dự phòng rủi ro cho vay các TCTD khác,Bằng ngoại hồi > Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,-,(4.688.968.750),,-4688968750.0
Cộng,Bằng ngoại hồi > Cộng,Cộng,385.000.000.000,2.495.311.031.250,385000000000.0,2495311031250.0
Tổng cộng,Bằng ngoại hồi > Tổng cộng,Tổng cộng,6.421.902.450.952,6.656.016.655.436,6421902450952.0,6656016655436.0
(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau:,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau:,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau:,Số tiền,Ngày đáo hạn,,
Ngân hàng TMCP An Bình,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,70.000.000.000,13/01/2016,70000000000.0,
,,,75.000.000.000,30/06/2016,75000000000.0,
,,,40.000.000.000,7/06/2016,40000000000.0,
Ngân hàng TMCP Phương Đông,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,200.000.000.000,22/02/2016,200000000000.0,
Cộng,(*) Chi tiết các khoản cho vay các tổ chức tín dụng như sau: > Cộng,Cộng,385.000.000.000,,385000000000.0,
"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác",31/12/2015,01/01/2015,,
- Nợ đủ tiêu chuẩn,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > - Nợ đủ tiêu chuẩn",- Nợ đủ tiêu chuẩn,6.421.902.450.952,6.656.016.655.436,6421902450952.0,6656016655436.0
Tổng cộng,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > Tổng cộng",Tổng cộng,6.421.902.450.952,6.656.016.825.319,6421902450952.0,6656016825319.0
4. Cho vay khách hàng,4. Cho vay khách hàng,4. Cho vay khách hàng,31/12/2015,01/01/2015,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","4. Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",20.274.306.838.237,16.523.198.930.629,20274306838237.0,16523198930629.0
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,4. Cho vay khách hàng > Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,9.283.680.340,571.496.154,9283680340.0,571496154.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","4. Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",147.850.952.454,116.886.118.946,147850952454.0,116886118946.0
Tổng cộng,4. Cho vay khách hàng > Tổng cộng,Tổng cộng,20.431.441.471.031,16.640.656.545.729,20431441471031.0,16640656545729.0
4.1. Phân tích chất lượng nợ cho vay,4.1. Phân tích chất lượng nợ cho vay,4.1. Phân tích chất lượng nợ cho vay,31/12/2015,01/01/2015,,
Nợ đủ tiêu chuẩn,4.1. Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,19.422.339.410.654,15.931.913.204.477,19422339410654.0,15931913204477.0
Nợ cần chú ý,4.1. Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,569.884.753.948,288.628.530.309,569884753948.0,288628530309.0
Nợ dưới tiêu chuẩn,4.1. Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,156.676.181.973,38.020.655.606,156676181973.0,38020655606.0
Nợ nghi ngở,4.1. Phân tích chất lượng nợ cho vay > Nợ nghi ngở,Nợ nghi ngở,29.277.860.353,51.470.141.221,29277860353.0,51470141221.0
Nợ có khả năng mất vốn,4.1. Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,253.263.264.103,330.624.014.116,253263264103.0,330624014116.0
Tổng cộng,4.1. Phân tích chất lượng nợ cho vay > Tổng cộng,Tổng cộng,20.431.441.471.031,16.640.656.545.729,20431441471031.0,16640656545729.0
4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian,31/12/2015,01/01/2015,,
Nợ ngắn hạn,4.2. Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,7.494.876.633.820,6.752.875.847.940,7494876633820.0,6752875847940.0
Nợ trung hạn,4.2. Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,6.984.459.402.907,4.555.265.264.302,6984459402907.0,4555265264302.0
Nợ dài hạn,4.2. Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,5.952.105.434.304,5.332.515.433.487,5952105434304.0,5332515433487.0
Tổng cộng,4.2. Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,20.431.441.471.031,16.640.656.545.729,20431441471031.0,16640656545729.0
