row_label_raw,row_label_full,Chỉ tiêu,Số dư đầu kỳ,Phát sinh trong kỳ > Số phải nộp,Phát sinh trong kỳ > Số đã nộp,Số dư cuối kỳ,numeric__Số dư đầu kỳ,numeric__Phát sinh trong kỳ > Số phải nộp,numeric__Phát sinh trong kỳ > Số đã nộp,numeric__Số dư cuối kỳ
1. Thuế GTGT,1. Thuế GTGT,1. Thuế GTGT,430,5.661,5.334,758,430.0,5661.0,5334.0,758.0
2. Thuế TNDN,2. Thuế TNDN,2. Thuế TNDN,(29.043),983,2.148,(30.209),-29043.0,983.0,2148.0,-30209.0
3. Các loại thuế khác,3. Các loại thuế khác,3. Các loại thuế khác,299,14.394,14.326,367,299.0,14394.0,14326.0,367.0
"4. Các khoản phí, lệ phí và các khoản phải nộp khác","4. Các khoản phí, lệ phí và các khoản phải nộp khác","4. Các khoản phí, lệ phí và các khoản phải nộp khác",,,,,,,,
Tổng cộng,"4. Các khoản phí, lệ phí và các khoản phải nộp khác > Tổng cộng",Tổng cộng,(28.314),21.038,21.808,(29.084),-28314.0,21038.0,21808.0,-29084.0
