row_label_raw,row_label_full,Chỉ tiêu,31/12/2015,01/01/2015,numeric__31/12/2015,numeric__01/01/2015
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,-,-,,
Cam kết giao dịch ngoại hồi,Bảo lãnh vay vốn > Cam kết giao dịch ngoại hồi,Cam kết giao dịch ngoại hồi,5.341.160.000.000,169.968.000.000,5341160000000.0,169968000000.0
Cam kết mua ngoại tệ,Bảo lãnh vay vốn > Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,175.120.000.000,-,175120000000.0,
Cam kết bán ngoại tệ,Bảo lãnh vay vốn > Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,109.450.000.000,21.246.000.000,109450000000.0,21246000000.0
Cam kết giao dịch hoán đối,Bảo lãnh vay vốn > Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,5.056.590.000.000,148.722.000.000,5056590000000.0,148722000000.0
Cam kết trong nghiệp vụ L/C,Bảo lãnh vay vốn > Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,298.837.631.035,66.645.906.614,298837631035.0,66645906614.0
Cam kết thanh toán trong nghiệp vụ L/C,Bảo lãnh vay vốn > Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,298.837.631.035,66.645.906.614,298837631035.0,66645906614.0
Các báo lãnh khác,Bảo lãnh vay vốn > Các báo lãnh khác,Các báo lãnh khác,2.078.516.803.843,1.051.687.583.180,2078516803843.0,1051687583180.0
Bảo lãnh thanh toán,Bảo lãnh vay vốn > Bảo lãnh thanh toán,Bảo lãnh thanh toán,220.944.578.666,134.466.090.513,220944578666.0,134466090513.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh vay vốn > Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,337.524.413.831,74.951.825.558,337524413831.0,74951825558.0
Bảo lãnh dự thầu,Bảo lãnh vay vốn > Bảo lãnh dự thầu,Bảo lãnh dự thầu,212.592.649.452,38.703.674.875,212592649452.0,38703674875.0
Cam kết báo lãnh khác,Bảo lãnh vay vốn > Cam kết báo lãnh khác,Cam kết báo lãnh khác,1.307.455.161.894,803.565.992.234,1307455161894.0,803565992234.0
Các cam kết khác,Bảo lãnh vay vốn > Các cam kết khác,Các cam kết khác,189.297.000.000,-,189297000000.0,
Tổng cộng,Bảo lãnh vay vốn > Tổng cộng,Tổng cộng,7.907.811.434.878,1.288.301.489.794,7907811434878.0,1288301489794.0
