row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiền gửi,Các cam kết tin dụng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi,numeric__Các cam kết tin dụng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán
Trong nước,Trong nước,Trong nước,"26.258.933,13","6.398.922,73","2.377.354,43",-,"10.046.019,31",26258933.13,6398922.73,2377354.43,,10046019.31
Ngoài nước,Ngoài nước,Ngoài nước,-,"22.979,72",-,-,-,,22979.72,,,
