row_label_raw,row_label_full,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi > 31/12/2015,- Thuyết minh theo loại tiền gửi > 01/01/2015,numeric__- Thuyết minh theo loại tiền gửi > 31/12/2015,numeric__- Thuyết minh theo loại tiền gửi > 01/01/2015
"Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",1.570.054.586.874,958.023.563.476,1570054586874.0,958023563476.0
- Bằng VND,- Bằng VND,- Bằng VND,1.487.588.341.924,942.710.319.751,1487588341924.0,942710319751.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,82.466.244.950,15.313.243.725,82466244950.0,15313243725.0
"Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",32.346.919.969.771,23.449.664.142.569,32346919969771.0,23449664142569.0
- Bằng VND,- Bằng VND,- Bằng VND,29.265.047.310.644,21.540.235.890.859,29265047310644.0,21540235890859.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,3.081.872.659.127,1.909.428.251.710,3081872659127.0,1909428251710.0
Tiền gửi vốn chuyển dùng,Tiền gửi vốn chuyển dùng,Tiền gửi vốn chuyển dùng,213.876.109,212.383.156,213876109.0,212383156.0
Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,113.783.945.905,32.458.477.284,113783945905.0,32458477284.0
- Bằng VND,- Bằng VND,- Bằng VND,74.502.749.231,26.044.095.415,74502749231.0,26044095415.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,39.281.196.674,6.414.381.869,39281196674.0,6414381869.0
Tổng cộng,Tổng cộng,Tổng cộng,34.030.972.378.659,24.440.358.566.485,34030972378659.0,24440358566485.0
