row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,285.712,-,-,-,-,-,-,285.712,,285712.0,,,,,,,285712.0
Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,-,1.812.435,-,-,-,-,-,-,1.812.435,,1812435.0,,,,,,,1812435.0
"Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)",-,366.902,4.280.000,1.660.000,40.000,-,75.000,-,6.421.902,,366902.0,4280000.0,1660000.0,40000.0,,75000.0,,6421902.0
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
Cho vay khách hàng (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),1.009.102,-,4.937.868,8.265.575,3.100.054,3.045.004,73.568,269,20.431.441,1009102.0,,4937868.0,8265575.0,3100054.0,3045004.0,73568.0,269.0,20431441.0
Chứng khoán đầu tư (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,450.000,-,-,150.000,4.097.000,5.349.019,10.046.019,,,450000.0,,,150000.0,4097000.0,5349019.0,10046019.0
"Góp vốn, đầu tư dài hạn (*)","Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,873.967,-,-,-,-,-,-,873.967,,873967.0,,,,,,,873967.0
Tài sản cố định và Bắt động sản đầu tư,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tài sản cố định và Bắt động sản đầu tư,Tài sản cố định và Bắt động sản đầu tư,-,1.168.506,-,-,-,-,-,-,1.168.506,,1168506.0,,,,,,,1168506.0
Tài sản Cỏ khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tài sản Cỏ khác (*),Tài sản Cỏ khác (*),-,7.432.205,-,-,-,-,-,-,7.432.205,,7432205.0,,,,,,,7432205.0
