row_label_raw,row_label_full,6. Chứng khoán đầu tư,6. Chứng khoán đầu tư_1,6. Chứng khoán đầu tư_2,31/12/2015,01/01/2015,numeric__6. Chứng khoán đầu tư_1,numeric__6. Chứng khoán đầu tư_2,numeric__31/12/2015,numeric__01/01/2015
6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,,,,
a. Chứng khoán Nợ,6.1. Chứng khoán đầu tư sẵn sàng để bán > a. Chứng khoán Nợ,a. Chứng khoán Nợ,a. Chứng khoán Nợ,a. Chứng khoán Nợ,4.466.278.487.845,3.687.996.835.756,,,4466278487845.0,3687996835756.0
- Chứng khoán Chính phủ,6.1. Chứng khoán đầu tư sẵn sàng để bán > - Chứng khoán Chính phủ,- Chứng khoán Chính phủ,- Chứng khoán Chính phủ,- Chứng khoán Chính phủ,4.466.278.487.845,3.687.996.835.756,,,4466278487845.0,3687996835756.0
b. Chứng khoán Vốn,b. Chứng khoán Vốn,b. Chứng khoán Vốn,b. Chứng khoán Vốn,b. Chứng khoán Vốn,-,-,,,,
c. Dự phòng giảm giá chứng khoán sẵn sàng để bán,c. Dự phòng giảm giá chứng khoán sẵn sàng để bán,c. Dự phòng giảm giá chứng khoán sẵn sàng để bán,c. Dự phòng giảm giá chứng khoán sẵn sàng để bán,c. Dự phòng giảm giá chứng khoán sẵn sàng để bán,-,-,,,,
Cộng,c. Dự phòng giảm giá chứng khoán sẵn sàng để bán > Cộng,Cộng,Cộng,Cộng,4.466.278.487.845,3.687.996.835.756,,,4466278487845.0,3687996835756.0
6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,,,
- Chứng khoán Nợ do các TCKT trong nước phát hành (*),6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),5.579.740.823.494,1.470.796.253.882,,,5579740823494.0,1470796253882.0
- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,-,-,,,,
Cộng,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn > Cộng,Cộng,Cộng,Cộng,5.579.740.823.494,1.470.796.253.882,,,5579740823494.0,1470796253882.0
Tổng cộng,- Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn > Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,10.046.019.311.339,5.158.793.089.638,,,10046019311339.0,5158793089638.0
