row_label_raw,row_label_full,Năm nay > Số dư đầu năm > Dự phòng rủi ro trích lập / hoàn nhập trong năm > Sử dụng dự phòng rủi ro tín dụng trong năm > Số dư cuối năm > Năm trước > Số dư đầu năm > Dự phòng rủi ro trích lập/ hoàn nhập trong năm > Sử dụng dự phòng rủi ro tín dụng trong năm > Số dư cuối năm > Chi tiết số dự phòng cuối năm,Dự phòng chung > 124.468.422.108 > 58.205.482.348 > (22.179.669.530) > 160.494.234.926 > 98.884.778.258 > 37.214.871.814 > (11.631.227.964) > 124.468.422.108 > 31/12/2015,Dự phòng cụ thể > 75.605.644.922 > (26.689.087.776) > 48.916.557.146 > 114.924.633.535 > (39.318.988.613) > - > 75.605.644.922 > 01/01/2015,numeric__Dự phòng chung > 124.468.422.108 > 58.205.482.348 > (22.179.669.530) > 160.494.234.926 > 98.884.778.258 > 37.214.871.814 > (11.631.227.964) > 124.468.422.108 > 31/12/2015,numeric__Dự phòng cụ thể > 75.605.644.922 > (26.689.087.776) > 48.916.557.146 > 114.924.633.535 > (39.318.988.613) > - > 75.605.644.922 > 01/01/2015
Dự phòng chung tin dụng khác đối với các TCTD trong nước,Dự phòng chung tin dụng khác đối với các TCTD trong nước,Dự phòng chung tin dụng khác đối với các TCTD trong nước,-,4.688.968.750,,4688968750.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,209.410.792.072,195.385.098.280,209410792072.0,195385098280.0
+ Dự phòng chung,+ Dự phòng chung,+ Dự phòng chung,160.494.234.926,119.779.453.358,160494234926.0,119779453358.0
+ Dự phòng cụ thể,+ Dự phòng cụ thể,+ Dự phòng cụ thể,48.916.557.146,75.605.644.922,48916557146.0,75605644922.0
Cộng,Cộng,Cộng,209.410.792.072,200.074.067.030,209410792072.0,200074067030.0
