row_label_raw,row_label_full,29. Loại hình và giá trị tài sản thể chấp của khách hàngLoại tài sản đảm bảo,Giá trị đến31/12/2015,Giá trị đến01/01/2015,numeric__Giá trị đến31/12/2015,numeric__Giá trị đến01/01/2015
Bất động sản,Bất động sản,Bất động sản,32.292.715.755.237,15.073.487.071.959,32292715755237.0,15073487071959.0
Bảo lãnh của Ngân hàng Phát triển Việt Nam,Bảo lãnh của Ngân hàng Phát triển Việt Nam,Bảo lãnh của Ngân hàng Phát triển Việt Nam,11.000.000.000,11.000.000.000,11000000000.0,11000000000.0
"Các khoản tiền gửi bằng VND, XAU","Các khoản tiền gửi bằng VND, XAU","Các khoản tiền gửi bằng VND, XAU",30.135.500.000,4.518.846.247,30135500000.0,4518846247.0
Chứng khoán của các Tổ chức tin dụng khác,Chứng khoán của các Tổ chức tin dụng khác,Chứng khoán của các Tổ chức tin dụng khác,30.135.500.000,68.428.500.000,30135500000.0,68428500000.0
Chứng khoán của doanh nghiệp,Chứng khoán của doanh nghiệp,Chứng khoán của doanh nghiệp,4.761.277.282.930,2.999.810.720.930,4761277282930.0,2999810720930.0
"Chứng khoán do TCTD khác phát hành niêm yết trên SGDCK, TTGDCK","Chứng khoán do TCTD khác phát hành niêm yết trên SGDCK, TTGDCK","Chứng khoán do TCTD khác phát hành niêm yết trên SGDCK, TTGDCK",1.143.570.000.000,303.170.000.000,1143570000000.0,303170000000.0
"Chứng khoán do các DN phát hành niêm yết trên SGDCK, TTGDCK","Chứng khoán do các DN phát hành niêm yết trên SGDCK, TTGDCK","Chứng khoán do các DN phát hành niêm yết trên SGDCK, TTGDCK",983.421.854.000,1.821.792.516.000,983421854000.0,1821792516000.0
"Hàng hóa, nguyên liệu, nhiên liêu, vật liệu","Hàng hóa, nguyên liệu, nhiên liêu, vật liệu","Hàng hóa, nguyên liệu, nhiên liêu, vật liệu",4.704.887.891.319,5.678.462.429.791,4704887891319.0,5678462429791.0
Máy móc thiết bị chuyên dùng,Máy móc thiết bị chuyên dùng,Máy móc thiết bị chuyên dùng,931.080.747.989,460.367.711.406,931080747989.0,460367711406.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,5.318.694.080.169,1.079.575.525.315,5318694080169.0,1079575525315.0
"Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD","Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD","Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD",1.170.196.116.498,3.835.506.653.368,1170196116498.0,3835506653368.0
"Số dư tiền gửi, kỳ phiếu, chứng chỉ tiên gối bằng VND tại NCB","Số dư tiền gửi, kỳ phiếu, chứng chỉ tiên gối bằng VND tại NCB","Số dư tiền gửi, kỳ phiếu, chứng chỉ tiên gối bằng VND tại NCB",1.035.457.886.706,604.949.845.021,1035457886706.0,604949845021.0
Số dư tiền gửi USD tại NCB,Số dư tiền gửi USD tại NCB,Số dư tiền gửi USD tại NCB,421.268.836,7.138.307.353,421268836.0,7138307353.0
"Vàng, Số dư tiền gửi, Số Tiết kiệm bằng Ngoại tệ tại TCTD","Vàng, Số dư tiền gửi, Số Tiết kiệm bằng Ngoại tệ tại TCTD","Vàng, Số dư tiền gửi, Số Tiết kiệm bằng Ngoại tệ tại TCTD",27.664.059.724,1.444.728.000,27664059724.0,1444728000.0
Loại khác,Loại khác,Loại khác,19.945.641.679.024,4.833.879.350.158,19945641679024.0,4833879350158.0
Tổng,Tổng,Tổng,72.386.299.622.432,36.783.532.205.548,72386299622432.0,36783532205548.0
