row_label_raw,row_label_full,Họ và tên,Chức vụ,2024Triệu đồng,2023Triệu đồng,numeric__Chức vụ,numeric__2024Triệu đồng,numeric__2023Triệu đồng
Ông Nguyễn Cảnh Anh,Ông Nguyễn Cảnh Anh,Ông Nguyễn Cảnh Anh,Chủ tịch(từ ngày 26 tháng 4 năm 2024)Thành viên(đến ngày 26 tháng 4 năm 2024),3.307,1.113,,3307.0,1113.0
Bà Đỗ Hà Phương,Bà Đỗ Hà Phương,Bà Đỗ Hà Phương,Phó Chủ tịch(từ ngày 26 tháng 4 năm 2024)Chủ tịch(đến ngày 26 tháng 4 năm 2024),3.409,5.580,,3409.0,5580.0
Ông Trần Tấn Lộc,Ông Trần Tấn Lộc,Ông Trần Tấn Lộc,Phó Chủ tịch(từ ngày 25 tháng 1 năm 2024)Thành viên(đến ngày 25 tháng 1 năm 2024),3.307,995,,3307.0,995.0
Ông Trần Anh Thắng,Ông Trần Anh Thắng,Ông Trần Anh Thắng,Thành viên độc lập,3.307,4.351,,3307.0,4351.0
Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,Thành viên,3.307,4.351,,3307.0,4351.0
Bà Lương Thị Cẩm Tú,Bà Lương Thị Cẩm Tú,Bà Lương Thị Cẩm Tú,Phó Chủ tịch(từ ngày 26 tháng 4 năm 2024đến ngày 28 tháng 11 năm 2024)Thành viên(đến ngày 26 tháng 4 năm 2024),2.932,5.830,,2932.0,5830.0
Ông Nguyễn Hồ Nam,Ông Nguyễn Hồ Nam,Ông Nguyễn Hồ Nam,Phó Chủ tịch(từ ngày 26 tháng 4 năm 2024đến ngày 28 tháng 11 năm 2024),1.911,-,,1911.0,
Bà Lê Thị Mai Loan,Bà Lê Thị Mai Loan,Bà Lê Thị Mai Loan,Thành viên(đến ngày 26 tháng 4 năm 2024),1.021,4.351,,1021.0,4351.0
Ông Nguyễn Hiếu,Ông Nguyễn Hiếu,Ông Nguyễn Hiếu,Thành viên(đến ngày 14 tháng 4 năm 2023),-,1.415,,,1415.0
Ông Nguyễn Thanh Hùng,Ông Nguyễn Thanh Hùng,Ông Nguyễn Thanh Hùng,Thành viên(đến ngày 14 tháng 4 năm 2023),-,1.415,,,1415.0
Ông Đào Phong Trúc Đại,Ông Đào Phong Trúc Đại,Ông Đào Phong Trúc Đại,Thành viên(đến ngày 14 tháng 2 năm 2023),-,533,,,533.0
Bà Lê Hồng Anh,Bà Lê Hồng Anh,Bà Lê Hồng Anh,Thành viên(đến ngày 14 tháng 2 năm 2023),-,533,,,533.0
,,,,22.501,30.467,,22501.0,30467.0
