row_label_raw,row_label_full,Họ và tên,Chức vụ,2024Triệu đồng,2023Triệu đồng,numeric__Chức vụ,numeric__2024Triệu đồng,numeric__2023Triệu đồng
Ông Nguyễn Hoàng Hải,Ông Nguyễn Hoàng Hải,Ông Nguyễn Hoàng Hải,Quyền Tổng Giám đốc(tái bổ nhiệm ngày 3 tháng 10 năm 2024),4.592,1.453,,4592.0,1453.0
Ông Nguyễn Hưởng Minh,Ông Nguyễn Hưởng Minh,Ông Nguyễn Hưởng Minh,Phó Tổng Giám đốc,3.652,4.165,,3652.0,4165.0
Ông Đào Hồng Châu,Ông Đào Hồng Châu,Ông Đào Hồng Châu,Phó Tổng Giám đốc,3.517,3.849,,3517.0,3849.0
Ông Nguyễn Hồ Hoàng Vũ,Ông Nguyễn Hồ Hoàng Vũ,Ông Nguyễn Hồ Hoàng Vũ,Phó Tổng Giám đốckiêm Giám đốc Tài chính,2.700,3.400,,2700.0,3400.0
Bà Lê Thị Mai Loan,Bà Lê Thị Mai Loan,Bà Lê Thị Mai Loan,Phó Tổng Giám đốc(đến ngày 10 tháng 1 năm 2025),1.663,-,,1663.0,
Ông Phạm Đăng Khoa,Ông Phạm Đăng Khoa,Ông Phạm Đăng Khoa,Phó Tổng Giám đốc(từ ngày 11 tháng 10 năm 2024đến ngày 10 tháng 1 năm 2025),428,-,,428.0,
Ông Lã Quang Trung,Ông Lã Quang Trung,Ông Lã Quang Trung,Kế toán Trường(tái bổ nhiệm ngày 4 tháng 5 năm 2024),1.317,1.385,,1317.0,1385.0
Ông Trần Tấn Lộc,Ông Trần Tấn Lộc,Ông Trần Tấn Lộc,Tổng Giám đốc(đến ngày 2 tháng 10 năm 2023),-,4.872,,,4872.0
Bà Đình Thị Thu Thảo,Bà Đình Thị Thu Thảo,Bà Đình Thị Thu Thảo,Phó Tổng Giám đốc(đến ngày 8 tháng 5 năm 2023),-,2.257,,,2257.0
,,,,17.869,21.381,,17869.0,21381.0
