row_label_raw,row_label_full,col_0,2024Triệu đồng,2023Triệu đồng,numeric__2024Triệu đồng,numeric__2023Triệu đồng
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",37.421,6.016,37421.0,6016.0
Chi phí nhân viên:,Chi phí nhân viên:,Chi phí nhân viên:,,,,
- Lương và phụ cấp,Chi phí nhân viên: > - Lương và phụ cấp,- Lương và phụ cấp,1.520.053,1.426.668,1520053.0,1426668.0
- Các khoản chi đóng góp theo lương,Chi phí nhân viên: > - Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,169.047,156.353,169047.0,156353.0
- Chi phí khác cho nhân viên,Chi phí nhân viên: > - Chi phí khác cho nhân viên,- Chi phí khác cho nhân viên,177.729,148.411,177729.0,148411.0
Chi về tài sản:,Chi về tài sản:,Chi về tài sản:,,,,
- Chi phí thuê văn phòng,Chi về tài sản: > - Chi phí thuê văn phòng,- Chi phí thuê văn phòng,365.151,295.318,365151.0,295318.0
- Chi phí khấu hao TSCĐ,Chi về tài sản: > - Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,249.372,194.189,249372.0,194189.0
- Chi phí sửa chữa và nâng cấp tài sản,Chi về tài sản: > - Chi phí sửa chữa và nâng cấp tài sản,- Chi phí sửa chữa và nâng cấp tài sản,119.279,118.207,119279.0,118207.0
- Chi khác về tài sản,Chi về tài sản: > - Chi khác về tài sản,- Chi khác về tài sản,36.005,49.063,36005.0,49063.0
"Chi phí tiếp tân, khách tiết","Chi về tài sản: > Chi phí tiếp tân, khách tiết","Chi phí tiếp tân, khách tiết",154.517,197.336,154517.0,197336.0
Chi phí bảo hiểm tiền gửi,Chi về tài sản: > Chi phí bảo hiểm tiền gửi,Chi phí bảo hiểm tiền gửi,150.047,146.885,150047.0,146885.0
"Chi phí quảng cáo, tiếp thị, khuyến mại","Chi về tài sản: > Chi phí quảng cáo, tiếp thị, khuyến mại","Chi phí quảng cáo, tiếp thị, khuyến mại",95.373,81.008,95373.0,81008.0
Chi phí điện nước,Chi về tài sản: > Chi phí điện nước,Chi phí điện nước,68.847,60.208,68847.0,60208.0
Chi phí dịch vụ bảo vệ,Chi về tài sản: > Chi phí dịch vụ bảo vệ,Chi phí dịch vụ bảo vệ,67.769,65.315,67769.0,65315.0
Khác,Chi về tài sản: > Khác,Khác,189.536,195.831,189536.0,195831.0
,,,3.400.146,3.140.808,3400146.0,3140808.0
