row_label_raw,row_label_full,Chi tiêu,Năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Năm tài chính kết thúc ngày 31 tháng 12 năm 2023_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2023_2,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2023_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2023_2
Chi tiêu,Chi tiêu,Chi tiêu,Số liệu báo cáo trước đây,Điều chỉnh,Số liệu trình bày lại,,,
Lợi nhuận thuần phân bổ cho các cổ đông (Triệu đồng),Chi tiêu > Lợi nhuận thuần phân bổ cho các cổ đông (Triệu đồng),Lợi nhuận thuần phân bổ cho các cổ đông (Triệu đồng),2.165.099,(150.000),2.015.099,2165099.0,-150000.0,2015099.0
Bình quân gia quyền số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Chi tiêu > Bình quân gia quyền số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Bình quân gia quyền số cổ phiếu phổ thông đang lưu hành (cổ phiếu),1.740.866.148,121.854.459,1.862.720.607,1740866148.0,121854459.0,1862720607.0
Lãi cơ bản trên mỗi cổ phiếu (VND),Chi tiêu > Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),1.244,,1.082,1244.0,,1082.0
