row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2024Triệu đồng,Tại ngày > 31.12.2023Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2024Triệu đồng,numeric__Tại ngày > 31.12.2023Triệu đồng
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,13,2.079.510,19.870,,13.0,2079510.0,19870.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,2.079.510,19.870,,,2079510.0,19870.0
II,B > II,II,Tiền gửi và vay các TCTD khác,,29.670.330,16.363.869,,,29670330.0,16363869.0
1,B > 1,1,Tiền gửi của các TCTD khác,14.1,22.067.863,16.363.869,,141.0,22067863.0,16363869.0
2,B > 2,2,Vay các TCTD khác,14.2,7.602.467,-,,142.0,7602467.0,
III,B > III,III,Tiền gửi của khách hàng,15,167.447.644,156.329.168,,15.0,167447644.0,156329168.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,7,-,230.822,,7.0,,230822.0
VI,B > VI,VI,Phát hành giấy tờ có giá,16,10.864.503,2.000.000,,16.0,10864503.0,2000000.0
VII,B > VII,VII,Các khoản nợ khác,,4.606.601,4.028.107,,,4606601.0,4028107.0
1,B > 1,1,"Các khoản lãi, phí phải trả",17.1,2.119.353,2.552.457,,171.0,2119353.0,2552457.0
3,B > 3,3,Các khoản phải trả và công nợ khác,17.2,2.487.248,1.475.650,,172.0,2487248.0,1475650.0
,,,TỔNG NỘ PHẢI TRẢ,,214.668.588,178.971.836,,,214668588.0,178971836.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,19,25.099.406,22.444.999,,19.0,25099406.0,22444999.0
1,B > 1,1,Vốn của TCTD,,18.781.551,17.563.006,,,18781551.0,17563006.0
a,B > a,a,Vốn điều lệ,,18.688.106,17.469.561,,,18688106.0,17469561.0
b,B > b,b,Vốn đầu tư xây dựng cơ bản,,15.396,15.396,,,15396.0,15396.0
c,B > c,c,Thặng dư vốn cổ phần,,156.322,156.322,,,156322.0,156322.0
d,B > d,d,Cổ phiếu quỹ,,(78.273),(78.273),,,-78273.0,-78273.0
2,B > 2,2,Quỹ của TCTD,,3.562.209,2.896.986,,,3562209.0,2896986.0
5,B > 5,5,Lợi nhuận chưa phân phối,,2.755.646,1.985.007,,,2755646.0,1985007.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,25.099.406,22.444.999,,,25099406.0,22444999.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,239.767.994,201.416.835,,,239767994.0,201416835.0
