row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tàiTriệu đồng,Thiết bịquản lýTriệu đồng,Khác (*)Triệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tàiTriệu đồng,numeric__Thiết bịquản lýTriệu đồng,numeric__Khác (*)Triệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,460.411,1.018.835,463.059,41.592,525.888,2.509.785,460411.0,1018835.0,463059.0,41592.0,525888.0,2509785.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.548,83.349,-,698,110.175,195.770,1548.0,83349.0,,698.0,110175.0,195770.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.339),(12.866),(40.993),(1.335),(73.014),(132.547),-4339.0,-12866.0,-40993.0,-1335.0,-73014.0,-132547.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(120),-,-,120,-,,-120.0,,,120.0,
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,457.620,1.089.198,422.066,40.955,563.169,2.573.008,457620.0,1089198.0,422066.0,40955.0,563169.0,2573008.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,(107.287),(707.725),(195.522),(37.165),(352.153),(1.399.852),-107287.0,-707725.0,-195522.0,-37165.0,-352153.0,-1399852.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(12.382),(72.897),(52.626),(1.420),(56.808),(196.133),-12382.0,-72897.0,-52626.0,-1420.0,-56808.0,-196133.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",4.272,12.853,40.816,1.334,72.856,132.131,4272.0,12853.0,40816.0,1334.0,72856.0,132131.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,120,-,-,(120),-,,120.0,,,-120.0,
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,(115.397),(767.649),(207.332),(37.251),(336.225),(1.463.854),-115397.0,-767649.0,-207332.0,-37251.0,-336225.0,-1463854.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,353.124,311.110,267.537,4.427,173.735,1.109.933,353124.0,311110.0,267537.0,4427.0,173735.0,1109933.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,342.223,321.549,214.734,3.704,226.944,1.109.154,342223.0,321549.0,214734.0,3704.0,226944.0,1109154.0
