row_label_raw,row_label_full,col_0,31.12.2024Triệu đồng,31.12.2023Triệu đồng,numeric__31.12.2024Triệu đồng,numeric__31.12.2023Triệu đồng
Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,,
Trái phiếu Chính phủ,Chứng khoán nợ > Trái phiếu Chính phủ,Trái phiếu Chính phủ,11.474.762,2.563.770,11474762.0,2563770.0
Trái phiếu do các TCTD khác trong nước phát hành,Chứng khoán nợ > Trái phiếu do các TCTD khác trong nước phát hành,Trái phiếu do các TCTD khác trong nước phát hành,4.300.000,800.000,4300000.0,800000.0
Trái phiếu do các TCKT trong nước phát hành,Chứng khoán nợ > Trái phiếu do các TCKT trong nước phát hành,Trái phiếu do các TCKT trong nước phát hành,75.000,75.000,75000.0,75000.0
- Trong đó: Trái phiếu do DATC phát hành,Chứng khoán nợ > - Trong đó: Trái phiếu do DATC phát hành,- Trong đó: Trái phiếu do DATC phát hành,75.000,75.000,75000.0,75000.0
,,,15.849.762,3.438.770,15849762.0,3438770.0
Dự phòng rủi ro chứng khoán đầu tư nắm giữ đến ngày đáo hạn,Dự phòng rủi ro chứng khoán đầu tư nắm giữ đến ngày đáo hạn,Dự phòng rủi ro chứng khoán đầu tư nắm giữ đến ngày đáo hạn,Dự phòng rủi ro chứng khoán đầu tư nắm giữ đến ngày đáo hạn,Dự phòng rủi ro chứng khoán đầu tư nắm giữ đến ngày đáo hạn,,
Dự phòng chung trái phiếu DATC,Dự phòng rủi ro chứng khoán đầu tư nắm giữ đến ngày đáo hạn > Dự phòng chung trái phiếu DATC,Dự phòng chung trái phiếu DATC,-,(563),,-563.0
Dự phòng cụ thể trái phiếu DATC,Dự phòng rủi ro chứng khoán đầu tư nắm giữ đến ngày đáo hạn > Dự phòng cụ thể trái phiếu DATC,Dự phòng cụ thể trái phiếu DATC,(75.000),(15.000),-75000.0,-15000.0
,,,(75.000),(15.563),-75000.0,-15563.0
,,,15.774.762,3.423.207,15774762.0,3423207.0
