row_label_raw,row_label_full,col_0,Quyền sử dụng đất không thời hạnTriệu đồng,Phần mềm vi tínhTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đất không thời hạnTriệu đồng,numeric__Phần mềm vi tínhTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,2.349.062,572.711,2.921.773,2349062.0,572711.0,2921773.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,149.854,149.854,,149854.0,149854.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.729),-,(1.729),-1729.0,,-1729.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,2.347.333,722.565,3.069.898,2347333.0,722565.0,3069898.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,-,(349.966),(349.966),,-349966.0,-349966.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(53.239),(53.239),,-53239.0,-53239.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,-,(403.205),(403.205),,-403205.0,-403205.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,2.349.062,222.745,2.571.807,2349062.0,222745.0,2571807.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,2.347.333,319.360,2.666.693,2347333.0,319360.0,2666693.0
