row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,"Phương tiện vận tải,thiết bị truyền dẫn",Thiết bịvăn phòng,Tài sản cố định hữu hìnhkhác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,"numeric__Phương tiện vận tải,thiết bị truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Tài sản cố định hữu hìnhkhác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.942.429.690.949,39.224.041.301.839,186.876.209.350,558.456.093.459,406.645.128.413,47.318.448.424.010,6942429690949.0,39224041301839.0,186876209350.0,558456093459.0,406645128413.0,47318448424010.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,57.732.914.347,7.527.054.548,3.607.380.574,-,68.867.349.469,,57732914347.0,7527054548.0,3607380574.0,,68867349469.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(7.508.649.122),-,-,(7.508.649.122),,,-7508649122.0,,,-7508649122.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,(21.500.000),-,-,-,(21.500.000),,-21500000.0,,,,-21500000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.942.429.690.949,39.281.752.716.186,186.894.614.776,562.063.474.033,406.645.128.413,47.379.785.624.357,6942429690949.0,39281752716186.0,186894614776.0,562063474033.0,406645128413.0,47379785624357.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.803.824.445.387,19.471.582.599.718,113.924.276.274,332.678.215.446,96.740.906.710,22.818.750.443.535,2803824445387.0,19471582599718.0,113924276274.0,332678215446.0,96740906710.0,22818750443535.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,287.305.117.483,2.070.656.001.556,14.791.158.422,83.011.173.436,16.260.885.096,2.472.024.335.993,287305117483.0,2070656001556.0,14791158422.0,83011173436.0,16260885096.0,2472024335993.0
"Khẩu hao tài sản của dự án, tài sảncho mục đích phúc lợi","GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao tài sản của dự án, tài sảncho mục đích phúc lợi","Khẩu hao tài sản của dự án, tài sảncho mục đích phúc lợi",182.806.359,460.036.680,-,215.001.304,-,857.844.343,182806359.0,460036680.0,,215001304.0,,857844343.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(4.684.390.540),-,-,(4.684.390.540),,,-4684390540.0,,,-4684390540.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.091.312.369.229,21.542.698.637.954,124.031.044.156,415.904.390.186,113.001.791.806,25.286.948.233.331,3091312369229.0,21542698637954.0,124031044156.0,415904390186.0,113001791806.0,25286948233331.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số dư đầu năm,GIÁ TRỊ CÒN LẠI > Số dư đầu năm,Số dư đầu năm,4.138.605.245.562,19.752.458.702.121,72.951.933.076,225.777.878.013,309.904.221.703,24.499.697.980.475,4138605245562.0,19752458702121.0,72951933076.0,225777878013.0,309904221703.0,24499697980475.0
Số dư cuối năm,GIÁ TRỊ CÒN LẠI > Số dư cuối năm,Số dư cuối năm,3.851.117.321.720,17.739.054.078.232,62.863.570.620,146.159.083.847,293.643.336.607,22.092.837.391.026,3851117321720.0,17739054078232.0,62863570620.0,146159083847.0,293643336607.0,22092837391026.0
