row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,24.830.395.140.151,19.530.395.992.348,,300.0,,24830395140151.0,19530395992348.0
I.,I.,I.,Nợ ngắn hạn,310,,20.407.344.880.956,12.916.387.379.661,,310.0,,20407344880956.0,12916387379661.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,14,7.004.930.722.285,7.067.941.410.738,,311.0,14.0,7004930722285.0,7067941410738.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,4.317.931.433,4.414.770.972,,312.0,,4317931433.0,4414770972.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,15,951.336.653.244,1.324.184.390.421,,313.0,15.0,951336653244.0,1324184390421.0
4.,4.,4.,Phải trả người lao động,314,,110.891.005.463,137.672.947.027,,314.0,,110891005463.0,137672947027.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,16,310.579.875.350,281.977.244.160,,315.0,16.0,310579875350.0,281977244160.0
6.,6.,6.,Phải trả ngắn hạn khác,319,17,1.905.378.573.837,2.874.051.897.441,,319.0,17.0,1905378573837.0,2874051897441.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,18,9.969.279.273.905,1.106.165.600.001,,320.0,18.0,9969279273905.0,1106165600001.0
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,,150.630.845.439,119.979.118.901,,322.0,,150630845439.0,119979118901.0
II.,II.,II.,Nợ dài hạn,330,,4.423.050.259.195,6.614.008.612.687,,330.0,,4423050259195.0,6614008612687.0
1.,1.,1.,Phải trả dài hạn khác,337,,2.771.193.987,2.771.193.987,,337.0,,2771193987.0,2771193987.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,19,3.022.122.002.938,5.192.347.309.334,,338.0,19.0,3022122002938.0,5192347309334.0
3.,3.,3.,Thuế thu nhập hoãn lại phải trả,341,,10.288.601.446,6.593.990.286,,341.0,,10288601446.0,6593990286.0
4.,4.,4.,Quỹ phát triển khoa học và công nghệ,343,20,1.387.868.460.824,1.412.296.119.080,,343.0,20.0,1387868460824.0,1412296119080.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,31.064.538.930.922,34.053.597.003.711,,400.0,,31064538930922.0,34053597003711.0
I.,I.,I.,Vốn chủ sở hữu,410,21,31.064.538.930.922,34.053.597.003.711,,410.0,21.0,31064538930922.0,34053597003711.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,31.004.996.160.000,31.004.996.160.000,,411.0,,31004996160000.0,31004996160000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,31.004.996.160.000,31.004.996.160.000,,,,31004996160000.0,31004996160000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,2.440.434.975,2.440.434.975,,418.0,,2440434975.0,2440434975.0
3.,3.,3.,Quỹ khác thuộc vốn chủ sở hữu,420,,106.709.914,106.709.914,,420.0,,106709914.0,106709914.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,27.902.497.446,2.975.058.051.015,,421.0,,27902497446.0,2975058051015.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,2.847.992.932.613,183.357.183.151,,,,2847992932613.0,183357183151.0
,,,- (Lỗ)/Lợi nhuận sau thuế chưa phân phối năm nay,421b,,(2.820.090.435.167),2.791.700.867.864,,,,-2820090435167.0,2791700867864.0
5.,5.,5.,Lợi ích của cổ đông không kiểm soát,429,,29.093.128.587,70.995.647.807,,429.0,,29093128587.0,70995647807.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,55.894.934.071.073,53.583.992.996.059,,440.0,,55894934071073.0,53583992996059.0
Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Bạch Đức Long Kế toán trưởng,,Nguyễn Việt Thắng Phó Tổng Giám đốc,,,,,,
