row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Thuyết minh,Năm nay,Đơn vị: VND,numeric__CHÌ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị: VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,24,57.959.112.673.412,102.823.756.014.297,,1.0,24.0,57959112673412.0,102823756014297.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,24,-,3.369.000,,2.0,24.0,,3369000.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,24,57.959.112.673.412,102.823.752.645.297,,10.0,24.0,57959112673412.0,102823752645297.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,25,60.183.939.693.526,98.850.991.293.829,,11.0,25.0,60183939693526.0,98850991293829.0
5.,5.,5.,(Lỗ)/Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,(2.224.827.020.114),3.972.761.351.468,,20.0,,-2224827020114.0,3972761351468.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,27,666.178.306.758,536.775.450.247,,21.0,27.0,666178306758.0,536775450247.0
7.,7.,7.,Chi phí tài chính,22,28,497.659.186.225,416.118.869.286,,22.0,28.0,497659186225.0,416118869286.0
,,,- Trong đó: Chi phí lãi vay,23,,325.082.824.759,359.859.613.027,,23.0,,325082824759.0,359859613027.0
8.,8.,8.,Chi phí bán hàng,25,29,551.873.123.765,714.115.014.949,,25.0,29.0,551873123765.0,714115014949.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,29,269.294.376.639,389.424.547.940,,26.0,29.0,269294376639.0,389424547940.0
10.,10.,10.,(Lỗ)/Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,(2.877.475.399.985),2.989.878.369.540,,30.0,,-2877475399985.0,2989878369540.0
11.,11.,11.,Thu nhập khác,31,30,25.771.539.027,68.881.593.622,,31.0,30.0,25771539027.0,68881593622.0
12.,12.,12.,Chi phí khác,32,31,723.577.572,4.365.721.492,,32.0,31.0,723577572.0,4365721492.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,,25.047.961.455,64.515.872.130,,40.0,,25047961455.0,64515872130.0
14.,14.,14.,Tổng (lỗ)/lợi nhuận kế toán trước thuế (50=30+40),50,,(2.852.427.438.530),3.054.394.241.670,,50.0,,-2852427438530.0,3054394241670.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,2.001.392.078,177.270.179.729,,51.0,32.0,2001392078.0,177270179729.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,3.698.671.766,4.126.651.594,,52.0,,3698671766.0,4126651594.0
17.,17.,17.,(Lỗ)/lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52)Trong đó:,60,,(2.858.127.502.374),2.872.997.410.347,,60.0,,-2858127502374.0,2872997410347.0
17.1.,17.1.,17.1.,(Lỗ)/lợi nhuận sau thuế của cổ đông của Công ty mẹ,61,,(2.818.841.515.440),2.913.820.263.418,,61.0,,-2818841515440.0,2913820263418.0
17.2.,17.2.,17.2.,(Lỗ) sau thuế của cổ đông không kiểm soát,62,,(39.285.986.934),(40.822.853.071),,62.0,,-39285986934.0,-40822853071.0
18.,18.,18.,(Lỗ)/Lãi cơ bản trên cổ phiếu,70,33,(909),857,,70.0,33.0,-909.0,857.0
Lê Thị Hồng TrâmNgười lập biểu,Lê Thị Hồng TrâmNgười lập biểu,Lê Thị Hồng TrâmNgười lập biểu,Lê Thị Hồng TrâmNgười lập biểu,Bạch Đức LongKế toán trưởng,,,,,,,,
