row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,31.004.996.160.000,2.440.434.975,106.709.914,256.261.875.092,113.741.149.859,31.377.546.329.840,31004996160000.0,2440434975.0,106709914.0,256261875092.0,113741149859.0,31377546329840.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,2.913.820.263.418,(40.822.853.071),2.872.997.410.347,,,,2913820263418.0,-40822853071.0,2872997410347.0
"Trích Quỹ khen thưởng, phúc lợi năm 2018","Trích Quỹ khen thưởng, phúc lợi năm 2018","Trích Quỹ khen thưởng, phúc lợi năm 2018",-,-,-,(65.853.362.976),(253.983.915),(66.107.346.891),,,,-65853362976.0,-253983915.0,-66107346891.0
"Tạm trích Quỹ khen thưởng, phúc lợi năm 2019","Tạm trích Quỹ khen thưởng, phúc lợi năm 2019","Tạm trích Quỹ khen thưởng, phúc lợi năm 2019",-,-,-,(129.166.019.726),(251.080.274),(129.417.100.000),,,,-129166019726.0,-251080274.0,-129417100000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(4.704.793),(1.417.584.792),(1.422.289.585),,,,-4704793.0,-1417584792.0,-1422289585.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,31.004.996.160.000,2.440.434.975,106.709.914,2.975.058.051.015,70.995.647.807,34.053.597.003.711,31004996160000.0,2440434975.0,106709914.0,2975058051015.0,70995647807.0,34053597003711.0
(Lỗ) trong năm,(Lỗ) trong năm,(Lỗ) trong năm,-,-,-,(2.818.841.515.440),(39.285.986.934),(2.858.127.502.374),,,,-2818841515440.0,-39285986934.0,-2858127502374.0
Trích các quỹ (*),Trích các quỹ (*),Trích các quỹ (*),-,-,-,(127.803.050.573),(619.086.461),(128.422.137.034),,,,-127803050573.0,-619086461.0,-128422137034.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(510.987.556),(1.997.445.825),(2.508.433.381),,,,-510987556.0,-1997445825.0,-2508433381.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,31.004.996.160.000,2.440.434.975,106.709.914,27.902.497.446,29.093.128.587,31.064.538.930.922,31004996160000.0,2440434975.0,106709914.0,27902497446.0,29093128587.0,31064538930922.0
