row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > VND,Số phải nộp/bù trừ trong năm > VND,Số đã thực nộp trong năm > VND,Số cuối năm > VND,numeric__Số đầu năm > VND,numeric__Số phải nộp/bù trừ trong năm > VND,numeric__Số đã thực nộp trong năm > VND,numeric__Số cuối năm > VND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
"Thuế xuất, nhập khẩu","a. Các khoản phải thu > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",665.094.257,56.731.771.363,56.731.771.363,665.094.257,665094257.0,56731771363.0,56731771363.0,665094257.0
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.153.596.211,(158.261.805),-,3.311.858.016,3153596211.0,-158261805.0,,3311858016.0
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,224.383.243,(5.294.721),-,229.677.964,224383243.0,-5294721.0,,229677964.0
Thuế nhà thầu,a. Các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,2.112.726.304,60.770.239.124,60.752.607.635,2.095.094.815,2112726304.0,60770239124.0,60752607635.0,2095094815.0
- Thuế GTGT nộp thay nhà thầu,a. Các khoản phải thu > - Thuế GTGT nộp thay nhà thầu,- Thuế GTGT nộp thay nhà thầu,2.095.094.815,33.559.727.955,33.559.727.955,2.095.094.815,2095094815.0,33559727955.0,33559727955.0,2095094815.0
- Thuế TNDN nộp thay nhà thầu,a. Các khoản phải thu > - Thuế TNDN nộp thay nhà thầu,- Thuế TNDN nộp thay nhà thầu,17.631.489,27.210.511.169,27.192.879.680,-,17631489.0,27210511169.0,27192879680.0,
Tiền thuê đất,a. Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,28.783.100,455.618.048,426.834.948,-,28783100.0,455618048.0,426834948.0,
,,,6.184.583.115,117.794.072.009,117.911.213.946,6.301.725.052,6184583115.0,117794072009.0,117911213946.0,6301725052.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,678.990.465.412,3.497.620.644.735,3.679.172.312.079,497.438.798.068,678990465412.0,3497620644735.0,3679172312079.0,497438798068.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,678.979.788.592,1.578.897.408.511,1.760.438.399.035,497.438.798.068,678979788592.0,1578897408511.0,1760438399035.0,497438798068.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,10.676.820,1.918.723.236.224,1.918.733.913.044,-,10676820.0,1918723236224.0,1918733913044.0,
Thuế tiêu thụ đặc biệt,b. Các khoản phải trả > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,570.334.154.148,2.510.003.386.325,2.645.456.120.236,434.881.420.237,570334154148.0,2510003386325.0,2645456120236.0,434881420237.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,56.823.620.821,2.160.005.119,58.485.451.850,498.174.090,56823620821.0,2160005119.0,58485451850.0,498174090.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.034.998.382,15.753.516.221,17.302.808.060,2.485.706.543,4034998382.0,15753516221.0,17302808060.0,2485706543.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,14.001.151.658,112.341.648.895,110.310.246.247,16.032.554.306,14001151658.0,112341648895.0,110310246247.0,16032554306.0
,,,1.324.184.390.421,6.137.879.201.295,6.510.726.938.472,951.336.653.244,1324184390421.0,6137879201295.0,6510726938472.0,951336653244.0
