row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,400.000.000.000,400.000.000.000,40.530.338.344.135,33.818.528.830.230,7.111.809.513.905,7.111.809.513.905,400000000000.0,400000000000.0,40530338344135.0,33818528830230.0,7111809513905.0,7111809513905.0
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành phố Hà Nội,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành phố Hà Nội,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành phố Hà Nội,-,-,26.580.356.681.939,22.425.907.522.624,4.154.449.159.315,4.154.449.159.315,,,26580356681939.0,22425907522624.0,4154449159315.0,4154449159315.0
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,-,-,3.839.226.911.071,2.101.866.556.481,1.737.360.354.590,1.737.360.354.590,,,3839226911071.0,2101866556481.0,1737360354590.0,1737360354590.0
Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,-,-,2.700.000.000.000,1.850.000.000.000,850.000.000.000,850.000.000.000,,,2700000000000.0,1850000000000.0,850000000000.0,850000000000.0
Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,-,-,1.535.000.000.000,1.165.000.000.000,370.000.000.000,370.000.000.000,,,1535000000000.0,1165000000000.0,370000000000.0,370000000000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Hội sở chính,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Hội sở chính,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Hội sở chính,-,-,2.742.965.037.349,2.742.965.037.349,-,-,,,2742965037349.0,2742965037349.0,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,-,-,2.664.212.989.201,2.664.212.989.201,-,-,,,2664212989201.0,2664212989201.0,,
Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam - Chi nhánh Long Biên,Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam - Chi nhánh Long Biên,Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam - Chi nhánh Long Biên,400.000.000.000,400.000.000.000,313.665.502.374,713.665.502.374,-,-,400000000000.0,400000000000.0,313665502374.0,713665502374.0,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Dung Quát,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Dung Quát,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Dung Quát,-,-,14.911.222.201,14.911.222.201,-,-,,,14911222201.0,14911222201.0,,
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,-,-,140.000.000.000,140.000.000.000,-,-,,,140000000000.0,140000000000.0,,
Nợ dài hạn đến hạn trả (xem Thuyết minh số 19),Nợ dài hạn đến hạn trả (xem Thuyết minh số 19),Nợ dài hạn đến hạn trả (xem Thuyết minh số 19),706.165.600.001,-,4.077.199.119.999,1.925.894.960.000,2.857.469.760.000,1.919.644.760.000,706165600001.0,,4077199119999.0,1925894960000.0,2857469760000.0,1919644760000.0
Chi tiết số dư vay dài hạn đến hạn trả tại:,Chi tiết số dư vay dài hạn đến hạn trả tại:,Chi tiết số dư vay dài hạn đến hạn trả tại:,,,,,,,,,,,,
Công ty Cổ phần Lộc hóa đầu Bình Sơn,Chi tiết số dư vay dài hạn đến hạn trả tại: > Công ty Cổ phần Lộc hóa đầu Bình Sơn,Công ty Cổ phần Lộc hóa đầu Bình Sơn,-,-,3.845.539.720.000,1.925.894.960.000,1.919.644.760.000,1.919.644.760.000,,,3845539720000.0,1925894960000.0,1919644760000.0,1919644760000.0
Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,Chi tiết số dư vay dài hạn đến hạn trả tại: > Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,706.165.600.001,(*),231.659.399.999,-,937.825.000.000,(*),706165600001.0,,231659399999.0,,937825000000.0,
,,,1.106.165.600.001,400.000.000.000,44.607.537.464.134,35.744.423.790.230,9.969.279.273.905,9.031.454.273.905,1106165600001.0,400000000000.0,44607537464134.0,35744423790230.0,9969279273905.0,9031454273905.0
