row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,5.898.512.909.335,4.813.997.880.000,-,18.921.146.397,5.879.591.762.938,4.798.374.780.000,5898512909335.0,4813997880000.0,,18921146397.0,5879591762938.0,4798374780000.0
Chi tiết số dư vay dài hạn tại:,Chi tiết số dư vay dài hạn tại:,Chi tiết số dư vay dài hạn tại:,Chi tiết số dư vay dài hạn tại:,Chi tiết số dư vay dài hạn tại:,Chi tiết số dư vay dài hạn tại:,Chi tiết số dư vay dài hạn tại:,Chi tiết số dư vay dài hạn tại:,Chi tiết số dư vay dài hạn tại:,,,,,,
Công ty Cổ phần Lộc hóa đầu Bình Sơn,Chi tiết số dư vay dài hạn tại: > Công ty Cổ phần Lộc hóa đầu Bình Sơn,Công ty Cổ phần Lộc hóa đầu Bình Sơn,4.813.997.880.000,4.813.997.880.000,-,15.623.100.000,4.798.374.780.000,4.798.374.780.000,4813997880000.0,4813997880000.0,,15623100000.0,4798374780000.0,4798374780000.0
Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,Chi tiết số dư vay dài hạn tại: > Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,1.084.515.029.335,(*),-,3.298.046.397,1.081.216.982.938,(*),1084515029335.0,,,3298046397.0,1081216982938.0,
,,,5.898.512.909.335,4.813.997.880.000,-,18.921.146.397,5.879.591.762.938,4.798.374.780.000,5898512909335.0,4813997880000.0,,18921146397.0,5879591762938.0,4798374780000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
- Số phải trả trong vòng 12 tháng,Trong đó: > - Số phải trả trong vòng 12 tháng,- Số phải trả trong vòng 12 tháng,706.165.600.001,,,,2.857.469.760.000,,706165600001.0,,,,2857469760000.0,
- Số phải trả sau 12 tháng,Trong đó: > - Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,5.192.347.309.334,,,,3.022.122.002.938,,5192347309334.0,,,,3022122002938.0,
"(*) Tại ngày lập báo cáo tài chính hợp nhất này, Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (Công ty con) đang tìm các giải pháp để thanh toán các khoản gốc vay nếu trên.","(*) Tại ngày lập báo cáo tài chính hợp nhất này, Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (Công ty con) đang tìm các giải pháp để thanh toán các khoản gốc vay nếu trên.","(*) Tại ngày lập báo cáo tài chính hợp nhất này, Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (Công ty con) đang tìm các giải pháp để thanh toán các khoản gốc vay nếu trên.","(*) Tại ngày lập báo cáo tài chính hợp nhất này, Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (Công ty con) đang tìm các giải pháp để thanh toán các khoản gốc vay nếu trên.","(*) Tại ngày lập báo cáo tài chính hợp nhất này, Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (Công ty con) đang tìm các giải pháp để thanh toán các khoản gốc vay nếu trên.","(*) Tại ngày lập báo cáo tài chính hợp nhất này, Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (Công ty con) đang tìm các giải pháp để thanh toán các khoản gốc vay nếu trên.","(*) Tại ngày lập báo cáo tài chính hợp nhất này, Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (Công ty con) đang tìm các giải pháp để thanh toán các khoản gốc vay nếu trên.","(*) Tại ngày lập báo cáo tài chính hợp nhất này, Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (Công ty con) đang tìm các giải pháp để thanh toán các khoản gốc vay nếu trên.","(*) Tại ngày lập báo cáo tài chính hợp nhất này, Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (Công ty con) đang tìm các giải pháp để thanh toán các khoản gốc vay nếu trên.",,,,,,
