row_label_raw,row_label_full,Chỉ tiêu,Sản phẩmlọc hóa đầu > VND,Nhiên liệusinh học > VND,Sản xuất bao bì vàthương mại dịch vụ > VND,Loại trừ nội bộ > VND,Tổng > VND,numeric__Sản phẩmlọc hóa đầu > VND,numeric__Nhiên liệusinh học > VND,numeric__Sản xuất bao bì vàthương mại dịch vụ > VND,numeric__Loại trừ nội bộ > VND,numeric__Tổng > VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,54.509.262.241.492,1.354.289.365.935,234.275.973.870,(202.893.510.224),55.894.934.071.073,54509262241492.0,1354289365935.0,234275973870.0,-202893510224.0,55894934071073.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,54.509.262.241.492,1.354.289.365.935,234.275.973.870,(202.893.510.224),55.894.934.071.073,54509262241492.0,1354289365935.0,234275973870.0,-202893510224.0,55894934071073.0
Nguồn vốn,Nguồn vốn,Nguồn vốn,,,,,,,,,,
Nợ phải trả bộ phận,Nguồn vốn > Nợ phải trả bộ phận,Nợ phải trả bộ phận,23.470.716.632.561,1.362.635.328.507,43.611.654.952,(46.568.475.869),24.830.395.140.151,23470716632561.0,1362635328507.0,43611654952.0,-46568475869.0,24830395140151.0
Vốn chủ sở hữu bộ phận,Nguồn vốn > Vốn chủ sở hữu bộ phận,Vốn chủ sở hữu bộ phận,31.038.545.608.931,(8.345.962.572),190.664.318.918,(156.325.034.355),31.064.538.930.922,31038545608931.0,-8345962572.0,190664318918.0,-156325034355.0,31064538930922.0
Tổng nguồn vốn hợp nhất,Nguồn vốn > Tổng nguồn vốn hợp nhất,Tổng nguồn vốn hợp nhất,54.509.262.241.492,1.354.289.365.935,234.275.973.870,(202.893.510.224),55.894.934.071.073,54509262241492.0,1354289365935.0,234275973870.0,-202893510224.0,55894934071073.0
Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2019,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2019,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2019,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2019,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2019,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2019,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2019,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2019,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Sản phẩmlọc hóa đầu,Nhiên liệusinh học,Sản xuất bao bì vàthương mại dịch vụ,Loại trừ nội bộ,Tổng,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,VND,VND,VND,VND,VND,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,52.218.212.446.096,1.429.080.960.467,226.255.282.000,(289.555.692.504),53.583.992.996.059,52218212446096.0,1429080960467.0,226255282000.0,-289555692504.0,53583992996059.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,52.218.212.446.096,1.429.080.960.467,226.255.282.000,(289.555.692.504),53.583.992.996.059,52218212446096.0,1429080960467.0,226255282000.0,-289555692504.0,53583992996059.0
Công nợ,Công nợ,Công nợ,,,,,,,,,,
Nợ phải trả bộ phận,Công nợ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,18.242.558.329.309,1.316.338.747.682,34.454.809.952,(62.955.894.595),19.530.395.992.348,18242558329309.0,1316338747682.0,34454809952.0,-62955894595.0,19530395992348.0
Vốn chủ sở hữu bộ phận,Công nợ > Vốn chủ sở hữu bộ phận,Vốn chủ sở hữu bộ phận,33.975.654.116.787,112.742.212.785,191.800.472.048,(226.599.797.909),34.053.597.003.711,33975654116787.0,112742212785.0,191800472048.0,-226599797909.0,34053597003711.0
Tổng nguồn vốn hợp nhất,Công nợ > Tổng nguồn vốn hợp nhất,Tổng nguồn vốn hợp nhất,52.218.212.446.096,1.429.080.960.467,226.255.282.000,(289.555.692.504),53.583.992.996.059,52218212446096.0,1429080960467.0,226255282000.0,-289555692504.0,53583992996059.0
