row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND > Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,5.703.290.130.352,5.355.844.463.509,,100.0,,5703290130352.0,5355844463509.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,1.699.179.830.219,2.758.198.902.186,,110.0,4.0,1699179830219.0,2758198902186.0
1.,1.,1.,Tiền,111,,165.179.830.219,244.198.902.186,,111.0,,165179830219.0,244198902186.0
2.,2.,2.,Các khoản tương đương tiền,112,,1.534.000.000.000,2.514.000.000.000,,112.0,,1534000000000.0,2514000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,2.185.000.000.000,975.000.000.000,,120.0,5.0,2185000000000.0,975000000000.0
1.,1.,1.,Đầu tư nắm giữ đến ngày đáo hạn,123,,2.185.000.000.000,975.000.000.000,,123.0,,2185000000000.0,975000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,214.128.629.551,183.484.184.864,,130.0,,214128629551.0,183484184864.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,104.002.063.787,131.829.109.353,,131.0,6.0,104002063787.0,131829109353.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,51.410.051.627,35.653.031.943,,132.0,7.0,51410051627.0,35653031943.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,292.292.936.796,249.143.385.150,,136.0,8.0,292292936796.0,249143385150.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(233.576.422.659),(233.576.422.659),,137.0,9.0,-233576422659.0,-233576422659.0
5.,5.,5.,Tài sản thiếu chờ xử lý,139,,-,435.081.077,,139.0,,,435081077.0
IV.,IV.,IV.,Hàng tồn kho,140,10,1.314.316.391.820,1.147.720.909.042,,140.0,10.0,1314316391820.0,1147720909042.0
1.,1.,1.,Hàng tồn kho,141,,1.340.621.467.980,1.162.821.693.099,,141.0,,1340621467980.0,1162821693099.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(26.305.076.160),(15.100.784.057),,149.0,,-26305076160.0,-15100784057.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,290.665.278.762,291.440.467.417,,150.0,,290665278762.0,291440467417.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,26.817.899.175,29.276.630.723,,151.0,11.0,26817899175.0,29276630723.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,256.938.273.841,257.326.042.539,,152.0,,256938273841.0,257326042539.0
,,,Thuế và các khoản khác phải thu,,,,,,,,,
3.,3.,3.,Nhà nước,153,15,6.909.105.746,4.837.794.155,,153.0,15.0,6909105746.0,4837794155.0
