row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.216.197.466.649,8.238.217.002.808,55.730.441.847,294.872.453.725,637.441.196.304,11.442.458.561.333,2216197466649.0,8238217002808.0,55730441847.0,294872453725.0,637441196304.0,11442458561333.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,30.669.462.948,6.964.373.228,-,5.171.879.664,-,42.805.715.840,30669462948.0,6964373228.0,,5171879664.0,,42805715840.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(26.262.420.462),(2.599.738.263),(307.584.000),(530.494.000),-,(29.700.236.725),-26262420462.0,-2599738263.0,-307584000.0,-530494000.0,,-29700236725.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.220.604.509.135,8.242.581.637.773,55.422.857.847,299.513.839.389,637.441.196.304,11.455.564.040.448,2220604509135.0,8242581637773.0,55422857847.0,299513839389.0,637441196304.0,11455564040448.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.173.728.318.276,5.908.489.995.780,53.385.688.193,217.101.676.040,195.979.176.167,7.548.684.854.456,1173728318276.0,5908489995780.0,53385688193.0,217101676040.0,195979176167.0,7548684854456.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,123.328.405.567,264.346.111.685,845.373.030,29.280.874.234,94.754.934.931,512.555.699.447,123328405567.0,264346111685.0,845373030.0,29280874234.0,94754934931.0,512555699447.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.576.259.477),(2.599.738.263),(307.584.000),(530.494.000),-,(14.014.075.740),-10576259477.0,-2599738263.0,-307584000.0,-530494000.0,,-14014075740.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.286.480.464.366,6.170.236.369.202,53.923.477.223,245.852.056.274,290.734.111.098,8.047.226.478.163,1286480464366.0,6170236369202.0,53923477223.0,245852056274.0,290734111098.0,8047226478163.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.042.469.148.373,2.329.727.007.028,2.344.753.654,77.770.777.685,441.462.020.137,3.893.773.706.877,1042469148373.0,2329727007028.0,2344753654.0,77770777685.0,441462020137.0,3893773706877.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,934.124.044.769,2.072.345.268.571,1.499.380.624,53.661.783.115,346.707.085.206,3.408.337.562.285,934124044769.0,2072345268571.0,1499380624.0,53661783115.0,346707085206.0,3408337562285.0
