row_label_raw,row_label_full,Ngoại tệ các loại,Ngoại tệ các loại_1,Ngoại tệ các loại_2,numeric__Ngoại tệ các loại_1,numeric__Ngoại tệ các loại_2
,,,Số cuối năm,Số đầu năm,,
Đô La Mỹ (USD),Đô La Mỹ (USD),Đô La Mỹ (USD),1.124.615,107.256,1124615.0,107256.0
Euro (EUR),Euro (EUR),Euro (EUR),1.429,32.527,1429.0,32527.0
Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,,
,,,Số cuối năm,Số đầu năm,,
,,,VND,VND,,
Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn:,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn:,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn:,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn:,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn:,,
Trong vòng một năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn: > Trong vòng một năm,Trong vòng một năm,16.487.724.868,16.441.075.051,16487724868.0,16441075051.0
Từ năm thứ hai đến năm thứ năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn: > Từ năm thứ hai đến năm thứ năm,Từ năm thứ hai đến năm thứ năm,63.070.899.472,63.844.300.203,63070899472.0,63844300203.0
Sau năm năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn: > Sau năm năm,Sau năm năm,357.137.671.964,371.545.801.219,357137671964.0,371545801219.0
,,,436.696.296.304,451.831.176.473,436696296304.0,451831176473.0
