row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,2.835.529.649.568,3.078.698.673.843,,300.0,,2835529649568.0,3078698673843.0
I.,I.,I.,Nợ ngắn hạn,310,,1.941.661.787.716,1.993.079.135.599,,310.0,,1941661787716.0,1993079135599.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,454.652.023.667,481.857.279.393,,311.0,18.0,454652023667.0,481857279393.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,19,95.659.550.511,72.972.244.692,,312.0,19.0,95659550511.0,72972244692.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,15,51.877.930.637,59.102.811.898,,313.0,15.0,51877930637.0,59102811898.0
4.,4.,4.,Phải trả người lao động,314,,117.097.287.975,116.196.881.387,,314.0,,117097287975.0,116196881387.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,20,448.079.404.279,667.791.126.473,,315.0,20.0,448079404279.0,667791126473.0
6.,6.,6.,Phải trả ngắn hạn khác,319,21,51.647.007.722,69.379.791.634,,319.0,21.0,51647007722.0,69379791634.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,23,190.871.758.751,177.270.899.255,,320.0,23.0,190871758751.0,177270899255.0
8.,8.,8.,Dự phòng phải trả ngắn hạn,321,22,467.511.021.812,312.648.007.246,,321.0,22.0,467511021812.0,312648007246.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,64.265.802.362,35.860.093.621,,322.0,,64265802362.0,35860093621.0
II.,II.,II.,Nợ dài hạn,330,,893.867.861.852,1.085.619.538.244,,330.0,,893867861852.0,1085619538244.0
1.,1.,1.,Phải trả dài hạn khác,337,21,1.866.870.000,960.870.000,,337.0,21.0,1866870000.0,960870000.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,23,858.922.907.882,1.063.625.393.987,,338.0,23.0,858922907882.0,1063625393987.0
3.,3.,3.,Quỹ phát triển khoa học và công nghệ,343,,33.078.083.970,21.033.274.257,,343.0,,33078083970.0,21033274257.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,8.127.118.275.732,8.041.491.971.905,,400.0,,8127118275732.0,8041491971905.0
I.,I.,I.,Vốn chủ sở hữu,410,24,8.127.118.275.732,8.041.491.971.905,,410.0,24.0,8127118275732.0,8041491971905.0
1.,1.,1.,Vốn góp của chủ sở hữu- Cổ phiếu phổ thông có quyềnbiểu quyết,411,,3.914.000.000.000,3.914.000.000.000,,411.0,,3914000000000.0,3914000000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,3.914.000.000.000,3.914.000.000.000,,412.0,,3914000000000.0,3914000000000.0
3.,3.,3.,Cổ phiếu quỹ,415,,21.179.913.858,21.179.913.858,,415.0,,21179913858.0,21179913858.0
4.,4.,4.,Quỹ đầu tư phát triển,418,,(2.296.824.120),(2.296.824.120),,418.0,,-2296824120.0,-2296824120.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối- Lợi nhuận sau thuế chưa phân phốilũy kế đến cuối năm trước,421,,3.444.814.857.841,3.444.814.857.841,,421.0,,3444814857841.0,3444814857841.0
,,,- Lợi nhuận sau thuế chưa phân phốinăm nay,421a,,749.420.328.153,663.794.024.326,,,,749420328153.0,663794024326.0
,,,,421a,,151.884.425.417,325.884.080.695,,,,151884425417.0,325884080695.0
,,,,421b,,597.535.902.736,337.909.943.631,,,,597535902736.0,337909943631.0
