row_label_raw,row_label_full,Bên liên quan,Mỗi quan hệ,numeric__Mỗi quan hệ
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Công ty mẹ,
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty con,
Công ty Cổ phần Phân Bón và Hóa Chất Dầu khí Miền Trung,Công ty Cổ phần Phân Bón và Hóa Chất Dầu khí Miền Trung,Công ty Cổ phần Phân Bón và Hóa Chất Dầu khí Miền Trung,Công ty con,
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty con,
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty con,
Công ty Cổ Phần Bao bì Đạm Phú Mỹ,Công ty Cổ Phần Bao bì Đạm Phú Mỹ,Công ty Cổ Phần Bao bì Đạm Phú Mỹ,Công ty liên kết,
Công ty Cổ phần Hoá đầu và Xơ sợi Việt Nam,Công ty Cổ phần Hoá đầu và Xơ sợi Việt Nam,Công ty Cổ phần Hoá đầu và Xơ sợi Việt Nam,Công ty liên kết,
Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty liên kết,
Công ty Cổ phần Phân bón Dầu khí Cà Mau,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Công ty cùng Tập đoàn,
Chi nhánh Tổng Công ty Khí Việt Nam - CTCP - Công ty Chế biến Khí Vũng Tàu,Chi nhánh Tổng Công ty Khí Việt Nam - CTCP - Công ty Chế biến Khí Vũng Tàu,Chi nhánh Tổng Công ty Khí Việt Nam - CTCP - Công ty Chế biến Khí Vũng Tàu,Công ty cùng Tập đoàn,
Chi nhánh Tổng Công ty Khí Việt Nam - CTCP - Công ty Khí Cà Mau,Chi nhánh Tổng Công ty Khí Việt Nam - CTCP - Công ty Khí Cà Mau,Chi nhánh Tổng Công ty Khí Việt Nam - CTCP - Công ty Khí Cà Mau,Công ty cùng Tập đoàn,
Công ty Cổ phần Cảng Dịch vụ Dầu khí Tổng hợp Phú Mỹ,Công ty Cổ phần Cảng Dịch vụ Dầu khí Tổng hợp Phú Mỹ,Công ty Cổ phần Cảng Dịch vụ Dầu khí Tổng hợp Phú Mỹ,Công ty cùng Tập đoàn,
Tổng Công ty Thăm dò Khai thác Dầu khí,Tổng Công ty Thăm dò Khai thác Dầu khí,Tổng Công ty Thăm dò Khai thác Dầu khí,Công ty cùng Tập đoàn,
Liên Doanh Việt – Nga Vietsovpetro,Liên Doanh Việt – Nga Vietsovpetro,Liên Doanh Việt – Nga Vietsovpetro,Công ty cùng Tập đoàn,
Chi nhánh Tổng Công ty Khí Việt Nam - CTCP - Công ty Vận chuyển Khí Đông Nam Bộ,Chi nhánh Tổng Công ty Khí Việt Nam - CTCP - Công ty Vận chuyển Khí Đông Nam Bộ,Chi nhánh Tổng Công ty Khí Việt Nam - CTCP - Công ty Vận chuyển Khí Đông Nam Bộ,Công ty cùng Tập đoàn,
Công ty Cổ phần PVI,Công ty Cổ phần PVI,Công ty Cổ phần PVI,Công ty cùng Tập đoàn,
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty cùng Tập đoàn,
Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,Công ty cùng Tập đoàn,
Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,Công ty cùng Tập đoàn,
Công ty TNHH MTV Kiểm định Kỹ thuật An toàn Dầu khí Việt Nam,Công ty TNHH MTV Kiểm định Kỹ thuật An toàn Dầu khí Việt Nam,Công ty TNHH MTV Kiểm định Kỹ thuật An toàn Dầu khí Việt Nam,Công ty cùng Tập đoàn,
Tổng Công ty Bảo Dương - Sửa chữa Công trình Dầu khí - CTCP,Tổng Công ty Bảo Dương - Sửa chữa Công trình Dầu khí - CTCP,Tổng Công ty Bảo Dương - Sửa chữa Công trình Dầu khí - CTCP,Công ty cùng Tập đoàn,
Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,Công ty cùng Tập đoàn,
Công ty Cổ phần Đào tạo Kỹ thuật PVD,Công ty Cổ phần Đào tạo Kỹ thuật PVD,Công ty Cổ phần Đào tạo Kỹ thuật PVD,Công ty cùng Tập đoàn,
Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Công ty cùng Tập đoàn,
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Công ty cùng Tập đoàn,
Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Công ty cùng Tập đoàn,
Ngân hàng TMCP Đại chúng Việt Nam - Chi nhánh TP. Hồ Chí Minh,Ngân hàng TMCP Đại chúng Việt Nam - Chi nhánh TP. Hồ Chí Minh,Ngân hàng TMCP Đại chúng Việt Nam - Chi nhánh TP. Hồ Chí Minh,Công ty cùng Tập đoàn,
Công ty Cổ phần Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hoá,Công ty Cổ phần Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hoá,Công ty Cổ phần Cảng Dịch vụ Dầu khí Tổng hợp PTSC Thanh Hoá,Công ty cùng Tập đoàn,
Công ty Cổ phần Chứng khoán Dầu khí,Công ty Cổ phần Chứng khoán Dầu khí,Công ty Cổ phần Chứng khoán Dầu khí,Công ty cùng Tập đoàn,
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Công ty cùng Tập đoàn,
Công ty Cổ phần Đầu tư Tài chính Công đoàn Dầu khí Việt Nam,Công ty Cổ phần Đầu tư Tài chính Công đoàn Dầu khí Việt Nam,Công ty Cổ phần Đầu tư Tài chính Công đoàn Dầu khí Việt Nam,Công ty cùng Tập đoàn,
Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,Công ty cùng Tập đoàn,
Ngân hàng TMCP Đại chúng Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng TMCP Đại chúng Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Ngân hàng TMCP Đại chúng Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Công ty cùng Tập đoàn,
Công ty TNHH Công Đoàn Dầu khí Việt Xô,Công ty TNHH Công Đoàn Dầu khí Việt Xô,Công ty TNHH Công Đoàn Dầu khí Việt Xô,Công ty cùng Tập đoàn,
Tổng Công ty Khí Việt Nam - Công ty Cổ phần (PV Gas),Tổng Công ty Khí Việt Nam - Công ty Cổ phần (PV Gas),Tổng Công ty Khí Việt Nam - Công ty Cổ phần (PV Gas),Công ty cùng Tập đoàn,
