row_label_raw,row_label_full,col_0,Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi,Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi_1,Vốn đã góp,Vốn đã góp_1,Vốn đã góp_2,Vốn đã góp_3,numeric__Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi,numeric__Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi_1,numeric__Vốn đã góp,numeric__Vốn đã góp_1,numeric__Vốn đã góp_2,numeric__Vốn đã góp_3
,,,Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi,Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
Cổ đông,Cổ đông,Cổ đông,Số lượng cổ phiếu,%,Số lượng cổ phiếu,%,Số lượng cổ phiếu,%,,,,,,
Tập đoàn Dầu khí Việt Nam,Cổ đông > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,233.204.253,"59,58",233.204.253,"59,58",233.204.253,"59,58",233204253.0,59.58,233204253.0,59.58,233204253.0,59.58
Các cổ đông khác,Cổ đông > Các cổ đông khác,Các cổ đông khác,158.195.747,"40,42",158.130.007,"40,42",158.130.007,"40,42",158195747.0,40.42,158130007.0,40.42,158130007.0,40.42
,,,391.400.000,"100,00",391.334.260,"100,00",391.334.260,"100,00",391400000.0,100.0,391334260.0,100.0,391334260.0,100.0
Cổ phiếu quỹ,Cổ đông > Cổ phiếu quỹ,Cổ phiếu quỹ,-,-,65.740,"0,00",65.740,"0,00",,,65740.0,0.0,65740.0,0.0
,,,391.400.000,"100,00",391.400.000,"100,00",391.400.000,"100,00",391400000.0,100.0,391400000.0,100.0,391400000.0,100.0
