row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VNDGiá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > VNDGiá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VNDGiá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > VNDGiá trị hợp lý
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,,,,,,
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc (i),Đầu tư vào Công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc (i),90.000.000.000,-,92.700.000.000,90.000.000.000,-,62.100.000.000,90000000000.0,,92700000000.0,90000000000.0,,62100000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung (i),Đầu tư vào Công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung (i),75.000.000.000,-,118.500.000.000,75.000.000.000,-,60.750.000.000,75000000000.0,,118500000000.0,75000000000.0,,60750000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ (i),Đầu tư vào Công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ (i),93.750.000.000,-,67.500.000.000,93.750.000.000,-,60.000.000.000,93750000000.0,,67500000000.0,93750000000.0,,60000000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ (i),Đầu tư vào Công ty con > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ (i),Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ (i),127.500.000.000,-,93.075.000.000,127.500.000.000,-,85.425.000.000,127500000000.0,,93075000000.0,127500000000.0,,85425000000.0
,,,386.250.000.000,-,371.775.000.000,386.250.000.000,-,268.275.000.000,386250000000.0,,371775000000.0,386250000000.0,,268275000000.0
Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,,,,,,
Công ty Cổ phần Phát triển Đô thị Dầu khí,Đầu tư vào Công ty liên kết > Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,100.000.000.000,(100.000.000.000),(ii),100.000.000.000,(100.000.000.000),(ii),100000000000.0,-100000000000.0,,100000000000.0,-100000000000.0,
Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,Đầu tư vào Công ty liên kết > Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,562.700.000.000,(562.700.000.000),(ii),562.700.000.000,(562.700.000.000),(ii),562700000000.0,-562700000000.0,,562700000000.0,-562700000000.0,
Công ty Cổ phần Bao bì Đạm Phú Mỹ (i),Đầu tư vào Công ty liên kết > Công ty Cổ phần Bao bì Đạm Phú Mỹ (i),Công ty Cổ phần Bao bì Đạm Phú Mỹ (i),18.203.000.000,-,15.472.550.000,18.203.000.000,-,22.571.720.000,18203000000.0,,15472550000.0,18203000000.0,,22571720000.0
,,,680.903.000.000,(662.700.000.000),15.472.550.000,680.903.000.000,(662.700.000.000),22.571.720.000,680903000000.0,-662700000000.0,15472550000.0,680903000000.0,-662700000000.0,22571720000.0
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,,,,
"Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Đầu tư vào đơn vị khác > Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí",3.600.000.000,-,(ii),3.600.000.000,-,(ii),3600000000.0,,,3600000000.0,,
Công ty Cổ phần Chế biến Thủy sản Út Xi,Đầu tư vào đơn vị khác > Công ty Cổ phần Chế biến Thủy sản Út Xi,Công ty Cổ phần Chế biến Thủy sản Út Xi,16.902.000.000,(4.247.771.382),(ii),16.902.000.000,(2.106.330.501),(ii),16902000000.0,-4247771382.0,,16902000000.0,-2106330501.0,
,,,20.502.000.000,(4.247.771.382),(ii),20.502.000.000,(2.106.330.501),(ii),20502000000.0,-4247771382.0,,20502000000.0,-2106330501.0,
