row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,754.520.070.695,8.132.218.018.274,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,754520070695.0,8132218018274.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,370.429.943.631,370.429.943.631,,,,,370429943631.0,370429943631.0
"Trích Quỹ khen thưởng,phúc lợi","Trích Quỹ khen thưởng,phúc lợi","Trích Quỹ khen thưởng,phúc lợi",-,-,-,-,(69.821.730.000),(69.821.730.000),,,,,-69821730000.0,-69821730000.0
Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,-,-,-,-,(391.334.260.000),(391.334.260.000),,,,,-391334260000.0,-391334260000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,663.794.024.326,8.041.491.971.905,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,663794024326.0,8041491971905.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,663.794.024.326,8.041.491.971.905,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,663794024326.0,8041491971905.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,681.535.902.736,681.535.902.736,,,,,681535902736.0,681535902736.0
"Trích Quỹ khen thưởng,phúc lợi (i)","Trích Quỹ khen thưởng,phúc lợi (i)","Trích Quỹ khen thưởng,phúc lợi (i)",-,-,-,-,(126.911.588.726),(126.911.588.726),,,,,-126911588726.0,-126911588726.0
Trả cổ tức bằng tiền mặt (ii),Trả cổ tức bằng tiền mặt (ii),Trả cổ tức bằng tiền mặt (ii),-,-,-,-,(469.601.112.000),(469.601.112.000),,,,,-469601112000.0,-469601112000.0
Tăng khác,Tăng khác,Tăng khác,,,,,603.101.817,603.101.817,,,,,603101817.0,603101817.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,749.420.328.153,8.127.118.275.732,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,749420328153.0,8127118275732.0
