row_label_raw,row_label_full,Tình hình hoạt động của Công ty con trong năm,Năm nay > Tình hình hoạt động của Công ty con trong năm,Năm trước > Tình hình hoạt động của Công ty con trong năm,numeric__Năm nay > Tình hình hoạt động của Công ty con trong năm,numeric__Năm trước > Tình hình hoạt động của Công ty con trong năm
Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Hoạt động kinh,Hoạt động kinh,,
Dầu khí Miền Trung,Dầu khí Miền Trung,Dầu khí Miền Trung,doanh có lãi,doanh có lãi,,
Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Hoạt động kinh,Hoạt động kinh,,
Dầu khí Tây Nam Bộ,Dầu khí Tây Nam Bộ,Dầu khí Tây Nam Bộ,doanh có lãi,doanh có lãi,,
Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Hoạt động kinh,Hoạt động kinh,,
Dầu khí Đồng Nam Bộ,Dầu khí Đồng Nam Bộ,Dầu khí Đồng Nam Bộ,doanh có lãi,doanh có lãi,,
Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Hoạt động kinh,Hoạt động kinh,,
Dầu khí Miền Bắc,Dầu khí Miền Bắc,Dầu khí Miền Bắc,doanh có lãi,doanh có lãi,,
Tình hình hoạt động của Công ty liên kết trong năm,Tình hình hoạt động của Công ty liên kết trong năm,Tình hình hoạt động của Công ty liên kết trong năm,Tình hình hoạt động của Công ty liên kết trong năm,Tình hình hoạt động của Công ty liên kết trong năm,,
,,,Hoạt động kinh,Hoạt động kinh,,
Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,doanh có lãi,doanh bị lỗ,,
,,,Hoạt động kinh,Hoạt động kinh,,
Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,doanh bị lỗ,doanh bị lỗ,,
,,,Hoạt động kinh,Hoạt động kinh,,
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,doanh có lãi,doanh có lãi,,
