row_label_raw,row_label_full,col_0,"Dự phòng sửa chữa,bảo dưỡng tổng thể","numeric__Dự phòng sửa chữa,bảo dưỡng tổng thể"
,,,VND,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,312.648.007.246,312648007246.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,190.357.101.577,190357101577.0
"Xuất vật tư phục vụ sửa chữa, bảo dưỡng","Xuất vật tư phục vụ sửa chữa, bảo dưỡng","Xuất vật tư phục vụ sửa chữa, bảo dưỡng",(35.494.087.011),-35494087011.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,467.511.021.812,467511021812.0
