row_label_raw,row_label_full,Ông Lê Cự Tân,Tổng Giám đốc,numeric__Tổng Giám đốc
Bà Trần Thị Phương Thảo,Bà Trần Thị Phương Thảo,Bà Trần Thị Phương Thảo,Phó Tổng Giám đốc,
Ông Lê Văn Quốc Việt,Ông Lê Văn Quốc Việt,Ông Lê Văn Quốc Việt,Phó Tổng Giám đốc,
Bà Lê Thị Thu Hương,Bà Lê Thị Thu Hương,Bà Lê Thị Thu Hương,Phó Tổng Giám đốc,
Ông Cao Trung Kiên,Ông Cao Trung Kiên,Ông Cao Trung Kiên,Phó Tổng Giám đốc,
Ông Đào Văn Ngọc,Ông Đào Văn Ngọc,Ông Đào Văn Ngọc,Phó Tổng Giám đốc (bố nhiệm ngày 21 tháng 4 năm 2020),
Ông Từ Cường,Ông Từ Cường,Ông Từ Cường,Phó Tổng Giám đốc (miễn nhiệm ngày 01 tháng 9 năm 2020),
