row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty Cổ phần Đường Biên Hòa,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đường Biên Hòa,Công ty Cổ phần Đường Biên Hòa,Bên liên quan,Cung cấp lắp đặt thiết bị,1.742.835.557,-,,,1742835557.0,
Công ty Cổ phần Thủy Điện Trường Phú,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,Bên liên quan,Cung cấp dịch vụ,1.650.000.000,1.650.000.000,,,1650000000.0,1650000000.0
Công ty Du lịch Thành Thành Công,Phải thu ngắn hạn của khách hàng > Công ty Du lịch Thành Thành Công,Công ty Du lịch Thành Thành Công,Bên liên quan,Cung cấp lắp đặt thiết bị,772.069.000,-,,,772069000.0,
Công ty Cổ phần Thủy Điện Gia Lai,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Thủy Điện Gia Lai,Công ty Cổ phần Thủy Điện Gia Lai,Công ty con,Cung cấp dịch vụ,685.000.000,5.703.213,,,685000000.0,5703213.0
Công ty Cổ phần Thủy Điện Thương Lộ,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Thủy Điện Thương Lộ,Công ty Cổ phần Thủy Điện Thương Lộ,Công ty con,Cung cấp dịch vụ,346.526.505,2.335.552.084,,,346526505.0,2335552084.0
Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,Công ty con,Cung cấp dịch vụ,236.023.271,126.781.778,,,236023271.0,126781778.0
Công ty TNHH Một Thành viên Thành Thành Công Gia Lai,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Thành Thành Công Gia Lai,Công ty TNHH Một Thành viên Thành Thành Công Gia Lai,Bên liên quan,Cung cấp lắp đặt thiết bị,68.674.568,,,,68674568.0,
Công ty Cổ phần Đầu tư Điện Tây Nguyên,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư Điện Tây Nguyên,Công ty Cổ phần Đầu tư Điện Tây Nguyên,Công ty con,Cung cấp dịch vụ,-,18.604.301,,,,18604301.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng > TỔNG CỘNG,TỔNG CỘNG,,,5.501.128.901,4.136.641.376,,,5501128901.0,4136641376.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phần Giao dịch Hàng Hóa Sơn Tín,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Giao dịch Hàng Hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng Hóa Sơn Tín,Bên liên quan,Cho vay,74.000.000.000,7.000.000.000,,,74000000000.0,7000000000.0
Công ty Cổ phần Thủy Điện Thương Lộ,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Thủy Điện Thương Lộ,Công ty Cổ phần Thủy Điện Thương Lộ,Công ty con,Cho vay,5.000.000.000,-,,,5000000000.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Cho vay,-,110.000.000.000,,,,110000000000.0
Bà Đặng Nhân Dung,Phải thu về cho vay ngắn hạn > Bà Đặng Nhân Dung,Bà Đặng Nhân Dung,Bên liên quan,Cho vay,-,54.000.000.000,,,,54000000000.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,79.000.000.000,171.000.000.000,,,79000000000.0,171000000000.0
