row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,3.868.178.000,472.500.000,139.440.184,4.480.118.184,3868178000.0,472500000.0,139440184.0,4480118184.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,189.000.000,-,189.000.000,,189000000.0,,189000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,3.868.178.000,661.500.000,139.440.184,4.669.118.184,3868178000.0,661500000.0,139440184.0,4669118184.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,175.000.000,-,175.000.000,,175000000.0,,175000000.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,54.831.585,262.212.781,70.453.971,387.498.337,54831585.0,262212781.0,70453971.0,387498337.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,77.428.356,71.131.448,17.613.504,166.173.308,77428356.0,71131448.0,17613504.0,166173308.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,132.259.941,333.344.229,88.067.475,553.671.645,132259941.0,333344229.0,88067475.0,553671645.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,3.813.346.415,210.287.219,68.986.213,4.092.619.847,3813346415.0,210287219.0,68986213.0,4092619847.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,3.735.918.059,328.155.771,51.372.709,4.115.446.539,3735918059.0,328155771.0,51372709.0,4115446539.0
