row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc (*)","Máy móc,thiết bị (*)","Phương tiện vậntải, truyền dẫn",Thiết bịquản lý,Vườn câylâu năm,Tài sản khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc (*)","numeric__Máy móc,thiết bị (*)","numeric__Phương tiện vậntải, truyền dẫn",numeric__Thiết bịquản lý,numeric__Vườn câylâu năm,numeric__Tài sản khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,
Số đầu nămĐầu tư XDCBhoàn thành,Nguyên giá: > Số đầu nămĐầu tư XDCBhoàn thành,Số đầu nămĐầu tư XDCBhoàn thành,600.030.672.963-,286.854.451.644,117.020.283.791,2.290.218.468,174.169.396,28.013.846.209,1.034.383.642.471,,286854451644.0,117020283791.0,2290218468.0,174169396.0,28013846209.0,1034383642471.0
Mua mới trong nămThanh lý,Mua mới trong nămThanh lý,Mua mới trong nămThanh lý,642.775.609-,330.930.7084.840.627.599(174.500.000),283.138.1331.110.065.219(159.584.617),1.621.790.988--,--,513.542.151120.000.000(285.735.103),2.749.401.9806.713.468.427(773.264.762),,,,,,,
Phân loại lại,Mua mới trong nămThanh lý > Phân loại lại,Phân loại lại,421.356.020,1.367.336.473,-,2.844.999.662,-,(4.633.692.155),-,421356020.0,1367336473.0,,2844999662.0,,-4633692155.0,
Số cuối năm,Mua mới trong nămThanh lý > Số cuối năm,Số cuối năm,601.094.804.592,293.218.846.424,118.253.902.526,6.603.564.076,174.169.396,23.727.961.102,1.043.073.248.116,601094804592.0,293218846424.0,118253902526.0,6603564076.0,174169396.0,23727961102.0,1043073248116.0
Trong đó:Dã khấu hao hết,Mua mới trong nămThanh lý > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,10.351.766.069,6.286.630.518,1.415.717.312,233.930.103,174.169.396,239.061.419,18.701.274.817,10351766069.0,6286630518.0,1415717312.0,233930103.0,174169396.0,239061419.0,18701274817.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,,
Số đầu nămKhấu hao trong nămThanh lý,Giá trị khấu hao lũy kế: > Số đầu nămKhấu hao trong nămThanh lý,Số đầu nămKhấu hao trong nămThanh lý,100.537.218.30325.432.840.158-,69.868.053.97614.824.953.519(46.761.710),33.742.484.5167.138.817.643(36.807.420),864.532.708706.525.560(148.801.887),174.169.396,1.565.873.2392.123.745.762(62.995.931),206.752.332.13850.226.882.642(295.366.948),,,,,174169396.0,,
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,10.891.128,35.342.654,-,73.537.005,-,(119.770.787),-,10891128.0,35342654.0,,73537005.0,,-119770787.0,
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,125.980.949.589,84.681.588.439,40.844.494.739,1.495.793.386,174.169.396,3.506.852.283,256.683.847.832,125980949589.0,84681588439.0,40844494739.0,1495793386.0,174169396.0,3506852283.0,256683847832.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,499.493.454.660,216.986.397.668,83.277.799.275,1.425.685.760,-,26.447.972.970,827.631.310.333,499493454660.0,216986397668.0,83277799275.0,1425685760.0,,26447972970.0,827631310333.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,475.113.855.003,208.537.257.985,77.409.407.787,5.107.770.690,-,20.221.108.819,786.389.400.284,475113855003.0,208537257985.0,77409407787.0,5107770690.0,,20221108819.0,786389400284.0
"Trong đó:Tài sản cảm có,thế chấp(Thuyết minh số 22)","Giá trị còn lại: > Trong đó:Tài sản cảm có,thế chấp(Thuyết minh số 22)","Trong đó:Tài sản cảm có,thế chấp(Thuyết minh số 22)",473.877.051.851,200.943.022.895,76.222.408.714,1.233.638.802,-,8.605.835.602,760.881.957.864,473877051851.0,200943022895.0,76222408714.0,1233638802.0,,8605835602.0,760881957864.0
