row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay ngân hàng (Thuyết minh số 22.1),Vay ngắn hạn > Vay ngân hàng (Thuyết minh số 22.1),Vay ngân hàng (Thuyết minh số 22.1),16.000.000.000,107.872.814.255,108.572.814.255,15.300.000.000,16000000000.0,107872814255.0,108572814255.0,15300000000.0
Vay bên liên quan (Thuyết minh số 31),Vay ngắn hạn > Vay bên liên quan (Thuyết minh số 31),Vay bên liên quan (Thuyết minh số 31),27.546.000.000,106.321.250.000,133.867.250.000,-,27546000000.0,106321250000.0,133867250000.0,
Vay dài hạn đến hạn trả (Thuyết minh số 22.2 và 22.3),Vay ngắn hạn > Vay dài hạn đến hạn trả (Thuyết minh số 22.2 và 22.3),Vay dài hạn đến hạn trả (Thuyết minh số 22.2 và 22.3),60.258.830.556,30.327.213.909,68.675.180.404,21.910.864.061,60258830556.0,30327213909.0,68675180404.0,21910864061.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Vay ngân hàng (Thuyết minh số 22.2),Vay dài hạn > Vay ngân hàng (Thuyết minh số 22.2),Vay ngân hàng (Thuyết minh số 22.2),328.341.212.031,92.000.000.000,231.430.628.780,188.910.583.251,328341212031.0,92000000000.0,231430628780.0,188910583251.0
Vay bên liên quan (Thuyết minh số 22.3 và 31),Vay dài hạn > Vay bên liên quan (Thuyết minh số 22.3 và 31),Vay bên liên quan (Thuyết minh số 22.3 và 31),4.212.327.047,-,3.659.714.341,552.612.706,4212327047.0,,3659714341.0,552612706.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,436.358.369.634,336.521.278.164,546.205.587.780,226.674.060.018,436358369634.0,336521278164.0,546205587780.0,226674060018.0
22.1 Vay ngắn hạn ngân hàng,22.1 Vay ngắn hạn ngân hàng,22.1 Vay ngắn hạn ngân hàng,22.1 Vay ngắn hạn ngân hàng,22.1 Vay ngắn hạn ngân hàng,22.1 Vay ngắn hạn ngân hàng,22.1 Vay ngắn hạn ngân hàng,,,,
Chi tiết khoản vay ngân hạn ngân hàng như sau:,Chi tiết khoản vay ngân hạn ngân hàng như sau:,Chi tiết khoản vay ngân hạn ngân hàng như sau:,Chi tiết khoản vay ngân hạn ngân hàng như sau:,Chi tiết khoản vay ngân hạn ngân hàng như sau:,Chi tiết khoản vay ngân hạn ngân hàng như sau:,Chi tiết khoản vay ngân hạn ngân hàng như sau:,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Số cuối năm VND,Kỳ hạn trả gốc,Mục đích vay,Lãi suất %/năm,,,,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai,,,,
"Hợp đồng vay số 19/HĐTD, ngày 27 tháng 12 năm 2016","Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Gia Lai > Hợp đồng vay số 19/HĐTD, ngày 27 tháng 12 năm 2016","Hợp đồng vay số 19/HĐTD, ngày 27 tháng 12 năm 2016",13.500.000.000,Ngày 27 tháng 6 năm 2017,Bổ sung vốn lưu động,5,13500000000.0,,,5.0
Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai,Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai,Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai,Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai,Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai,Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai,Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai,,,,
"Hợp đồng vay số 399/16/VCB, ngày 30 tháng 12 năm 2016","Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > Hợp đồng vay số 399/16/VCB, ngày 30 tháng 12 năm 2016","Hợp đồng vay số 399/16/VCB, ngày 30 tháng 12 năm 2016",1.800.000.000,Ngày 27 tháng 2 năm 2017,Bổ sung vốn lưu động,"6,3",1800000000.0,,,6.3
TỔNG CỘNG,Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Gia Lai > TỔNG CỘNG,TỔNG CỘNG,15.300.000.000,,,,15300000000.0,,,
