row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Dịch vụ tư vấn,1.195.838.530,-,,,1195838530.0,
Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Phải trả người bán ngắn hạn > Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty con,Dịch vụ xây dựng,585.300.230,3.385.303.533,,,585300230.0,3385303533.0
Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Phải trả người bán ngắn hạn > Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty con,Dịch vụ tư vấn,192.351.893,-,,,192351893.0,
Công ty Cổ phần Du lịch Thanh Bình,Phải trả người bán ngắn hạn > Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,Bên liên quan,Dịch vụ cho thuê,1.500.000,867.000,,,1500000.0,867000.0
TỔNG CỘNG,Phải trả người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,1.974.990.653,3.386.170.533,,,1974990653.0,3386170533.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Công ty Cổ phần Đầu tư Điện Tây Nguyên,Phải trả ngắn hạn khác > Công ty Cổ phần Đầu tư Điện Tây Nguyên,Công ty Cổ phần Đầu tư Điện Tây Nguyên,Công ty con,Phân chia lợi nhuận HĐHTKD,36.737.444.778,44.469.491.970,,,36737444778.0,44469491970.0
Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Phải trả ngắn hạn khác > Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty con,Thuê văn phòng,87.148.610,-,,,87148610.0,
Công ty Cổ phần Thủy Điện Gia Lai,Phải trả ngắn hạn khác > Công ty Cổ phần Thủy Điện Gia Lai,Công ty Cổ phần Thủy Điện Gia Lai,Công ty con,Thuê xe,76.456.615,-,,,76456615.0,
Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,Phải trả ngắn hạn khác > Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,Công ty con,Khác,9.000.000,-,,,9000000.0,
TỔNG CỘNG,Phải trả ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,,,36.910.050.003,44.469.491.970,,,36910050003.0,44469491970.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,,,,
Công ty Cổ phần Đầu tư Điện Tây Nguyên,Phải trả dài hạn khác > Công ty Cổ phần Đầu tư Điện Tây Nguyên,Công ty Cổ phần Đầu tư Điện Tây Nguyên,Công ty con,Nhận góp vốn liên doanh,177.155.556.544,184.143.172.817,,,177155556544.0,184143172817.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Vay ngắn hạn > Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty con,Vay,-,26.746.000.000,,,,26746000000.0
Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Vay ngắn hạn > Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty con,Vay,-,800.000.000,,,,800000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,-,27.546.000.000,,,,27546000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Các cổ đông khác,Vay dài hạn > Các cổ đông khác,Các cổ đông khác,Cổ đông 41,Vay,775.785.400,5.608.578.323,,,775785400.0,5608578323.0
