row_label_raw,row_label_full,Bên liên quan (Thuyết minh số 31),Bên liên quan (Thuyết minh số 31)_1,Số cuối năm > 26.477.000.000,VND Số đầu năm > 14.867.947.204,numeric__Bên liên quan (Thuyết minh số 31)_1,numeric__Số cuối năm > 26.477.000.000,numeric__VND Số đầu năm > 14.867.947.204
Chi tiết các khoản cho vay dài hạn bên liên quan như sau:,Chi tiết các khoản cho vay dài hạn bên liên quan như sau:,Chi tiết các khoản cho vay dài hạn bên liên quan như sau:,Chi tiết các khoản cho vay dài hạn bên liên quan như sau:,Chi tiết các khoản cho vay dài hạn bên liên quan như sau:,Chi tiết các khoản cho vay dài hạn bên liên quan như sau:,,,
Bên vay,Bên vay,Bên vay,Số cuối năm VND,Kỳ hạn trả gốc,Lãi suất (%/năm),,,
Công ty Cổ phần Thủy Điện Thương Lộ,Công ty Cổ phần Thủy Điện Thương Lộ,Công ty Cổ phần Thủy Điện Thương Lộ,Công ty Cổ phần Thủy Điện Thương Lộ,Công ty Cổ phần Thủy Điện Thương Lộ,Công ty Cổ phần Thủy Điện Thương Lộ,,,
Hợp đồng số 12/HĐTD-GEC/2015 ngày 22 tháng 12 năm 2015,Công ty Cổ phần Thủy Điện Thương Lộ > Hợp đồng số 12/HĐTD-GEC/2015 ngày 22 tháng 12 năm 2015,Hợp đồng số 12/HĐTD-GEC/2015 ngày 22 tháng 12 năm 2015,25.000.000.000,5 năm từ ngày 30 tháng 6 năm 2016,9,25000000000.0,,9.0
Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,,,
Hợp đồng số 11/HĐTD-GEC/2015 ngày 13 tháng 11 năm 2015,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai > Hợp đồng số 11/HĐTD-GEC/2015 ngày 13 tháng 11 năm 2015,Hợp đồng số 11/HĐTD-GEC/2015 ngày 13 tháng 11 năm 2015,1.477.000.000,3 năm từ ngày 13 tháng 11 năm 2015,9,1477000000.0,,9.0
TỔNG CỘNG,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai > TỔNG CỘNG,TỔNG CỘNG,26.477.000.000,,,26477000000.0,,
