row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,601.302.280.000,56.096.658.653,11.725.530.748,81.434.490.002,750.558.959.403,601302280000.0,56096658653.0,11725530748.0,81434490002.0,750558959403.0
Tăng vốn trong năm,Năm trước > Tăng vốn trong năm,Tăng vốn trong năm,143.601.110.000,(54.116.300.000),-,(66.142.390.000),23.342.420.000,143601110000.0,-54116300000.0,,-66142390000.0,23342420000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,118.864.342.271,118.864.342.271,,,,118864342271.0,118864342271.0
Trích lập quỹ đầu tư phát triển,Năm trước > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,7.387.587.991,(7.387.587.991),-,,,7387587991.0,-7387587991.0,
Sử dụng quỹ,Năm trước > Sử dụng quỹ,Sử dụng quỹ,-,-,(330.330.172),-,(330.330.172),,,-330330172.0,,-330330172.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(4.181.723.816),(4.181.723.816),,,,-4181723816.0,-4181723816.0
Phân chia lợi nhuận theo HĐHTKD (*),Năm trước > Phân chia lợi nhuận theo HĐHTKD (*),Phân chia lợi nhuận theo HĐHTKD (*),-,-,-,(22.705.982.348),(22.705.982.348),,,,-22705982348.0,-22705982348.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,744.903.390.000,1.980.358.653,18.782.788.567,99.881.148.118,865.547.685.338,744903390000.0,1980358653.0,18782788567.0,99881148118.0,865547685338.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,744.903.390.000,1.980.358.653,18.782.788.567,99.881.148.118,865.547.685.338,744903390000.0,1980358653.0,18782788567.0,99881148118.0,865547685338.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,100.742.866.931,100.742.866.931,,,,100742866931.0,100742866931.0
Trích lập quỹ đầu tư phát triển,Năm nay > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,4.808.145.726,(4.808.145.726),-,,,4808145726.0,-4808145726.0,
Hoàn nhập quỹ,Năm nay > Hoàn nhập quỹ,Hoàn nhập quỹ,-,-,(2.410.627.497),2.410.627.497,-,,,-2410627497.0,2410627497.0,
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(5.475.727.011),(5.475.727.011),,,,-5475727011.0,-5475727011.0
Phân chia lợi nhuận theo HĐHTKD (*),Năm nay > Phân chia lợi nhuận theo HĐHTKD (*),Phân chia lợi nhuận theo HĐHTKD (*),-,-,-,(16.901.726.735),(16.901.726.735),,,,-16901726735.0,-16901726735.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,744.903.390.000,1.980.358.653,21.180.306.796,175.849.043.074,943.913.098.523,744903390000.0,1980358653.0,21180306796.0,175849043074.0,943913098523.0
