row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ phần Thủy Điện Gia Lai,Phải thu ngắn hạn khác > Công ty Cổ phần Thủy Điện Gia Lai,Công ty Cổ phần Thủy Điện Gia Lai,Công ty con,Cổ tứcKhác,26.222.600.800106.655.000,32.778.251.000139.880.950,,,2.6222600800106656e+19,3.2778251000139882e+19
Công ty Cổ phần Đầu tư Điện Tây Nguyên,Phải thu ngắn hạn khác > Công ty Cổ phần Đầu tư Điện Tây Nguyên,Công ty Cổ phần Đầu tư Điện Tây Nguyên,Công ty con,Cổ tứcKhác,18.954.044.200-,18.954.044.200136.010.440,,,,1.895404420013601e+19
Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Phải thu ngắn hạn khác > Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty con,Lợi nhuận chỉ trả choChủ sở hữuLãi vayKhác,1.242.613.77611.446.75033.123.845,- - 123.416.151,,,1.2426137761144674e+25,
Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Phải thu ngắn hạn khác > Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một Thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty con,Lợi nhuận chỉ trả choChủ sở hữuKhác,757.386.22421.457.143,- -,,,7.573862242145714e+16,
Công ty Cổ phần Thủy điện Thương Lộ,Công ty Cổ phần Thủy điện Thương Lộ,Công ty Cổ phần Thủy điện Thương Lộ,Công ty con,Lãi vayKhácThuế văn phòng,659.625.00038.035.718-,13.169.472 - 507.762.666,,,,
Công ty Cổ phần Giao dịch Hàng Hóa Sơn Tín,Công ty Cổ phần Thủy điện Thương Lộ > Công ty Cổ phần Giao dịch Hàng Hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng Hóa Sơn Tín,Bên liên quan,Lãi vay,573.500.000,57.325.863,,,573500000.0,57325863.0
Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Thương Lộ > Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,Công ty con,Khác,32.729.475,52.222.500,,,32729475.0,52222500.0
Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy điện Thương Lộ > Công ty Cổ phần Thủy Điện Trường Phú,Công ty Cổ phần Thủy Điện Trường Phú,Bên liên quan,Khác,8.242.350,3.000.000,,,8242350.0,3000000.0
TỔNG CỘNG,Công ty Cổ phần Thủy điện Thương Lộ > TỔNG CỘNG,TỔNG CỘNG,,,48.661.460.281,52.765.083.242,,,48661460281.0,52765083242.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
Công ty Cổ phần Thủy Điện Thương Lộ,Phải thu về cho vay dài hạn > Công ty Cổ phần Thủy Điện Thương Lộ,Công ty Cổ phần Thủy Điện Thương Lộ,Công ty con,Cho vay,25.000.000.000,10.797.947.204,,,25000000000.0,10797947204.0
Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Phải thu về cho vay dài hạn > Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Công ty con,Cho vay,1.477.000.000,4.070.000.000,,,1477000000.0,4070000000.0
TỔNG CỘNG,Phải thu về cho vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,,26.477.000.000,14.867.947.204,,,26477000000.0,14867947204.0
