row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Tên công ty con_2,Lĩnh vực kinh doanh,Tình trạng hoạt động,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Tên công ty con_1,numeric__Tên công ty con_2,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty con,Tên công ty con,Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu (%),Giá gốc VND,Tỷ lệ sở hữu (%),Giá gốc VND,,,,,,,,
(1) Công ty Cổ phần Thủy Điện Gia Lai,Tên công ty con > (1) Công ty Cổ phần Thủy Điện Gia Lai,(1) Công ty Cổ phần Thủy Điện Gia Lai,,(*),"Sản xuất, truyền tải và phân phối điện",Đang hoạt động,"58,1",170.882.130.932,"58,1",170.882.130.932,,,,,58.1,170882130932.0,58.1,170882130932.0
(2) Công ty Cổ phần Đầu tư Điện Tây Nguyên,Tên công ty con > (2) Công ty Cổ phần Đầu tư Điện Tây Nguyên,(2) Công ty Cổ phần Đầu tư Điện Tây Nguyên,,(**),"Sản xuất, truyền tải và phân phối điện",Đang hoạt động,"59,1",143.562.636.932,"59,1",143.562.636.932,,,,,59.1,143562636932.0,59.1,143562636932.0
(3) Công ty Cổ phần Thủy Điện Thượng Lộ,Tên công ty con > (3) Công ty Cổ phần Thủy Điện Thượng Lộ,(3) Công ty Cổ phần Thủy Điện Thượng Lộ,,(**),"Sản xuất, truyền tải và phân phối điện",Đang hoạt động,70,31.990.201.240,"52,9",20.005.201.240,,,,,70.0,31990201240.0,52.9,20005201240.0
(4) Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,Tên công ty con > (4) Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,(4) Công ty TNHH Một Thành viên Xây lắp và Cơ điện Gia Lai,,,Xây dựng các công trình thủy điện vừa và nhỏ; sản xuất bê tông và các sản phẩm từ xi măng và thạch cao,Đang hoạt động,100,13.197.314.737,100,13.197.314.737,,,,,100.0,13197314737.0,100.0,13197314737.0
(5) Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,Tên công ty con > (5) Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,(5) Công ty Cổ phần Thủy Điện Kênh Bắc - Ayun Hạ,,,"Sản xuất, truyền tải và phân phối điện",Đang hoạt động,"65,3",5.880.000.000,"65,3",5.880.000.000,,,,,65.3,5880000000.0,65.3,5880000000.0
(6) Công ty TNHH MTV Tư vấn & Phát triển Năng lượng Gia Lai,Tên công ty con > (6) Công ty TNHH MTV Tư vấn & Phát triển Năng lượng Gia Lai,(6) Công ty TNHH MTV Tư vấn & Phát triển Năng lượng Gia Lai,,,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,Đang hoạt động,100,1.500.000.000,100,1.500.000.000,,,,,100.0,1500000000.0,100.0,1500000000.0
(7) Công ty TNHH MTV IALÓP,Tên công ty con > (7) Công ty TNHH MTV IALÓP,(7) Công ty TNHH MTV IALÓP,,,"Sản xuất, truyền tải và phân phối điện",Đang hoạt động,100,500.000.000,-,-,,,,,100.0,500000000.0,,
(8) Công ty Cổ phần Thủy Điện Trường Phú,Tên công ty con > (8) Công ty Cổ phần Thủy Điện Trường Phú,(8) Công ty Cổ phần Thủy Điện Trường Phú,,(***),"Sản xuất, truyền tải và phân phối điện",Thanh lý,-,-,"20,1",34.267.716.797,,,,,,,20.1,34267716797.0
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,,,,,367.512.283.841,,389.295.000.638,,,,,,367512283841.0,,389295000638.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,,,,,,-,,-,,,,,,,,
GIÁ TRỊ THUÀN,Dự phòng đầu tư tài chính dài hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,,,,,367.512.283.841,,389.295.000.638,,,,,,367512283841.0,,389295000638.0
